Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"ArturRed Bull Bragantino, 24, AM(LR)","13ArturRed Bull Bragantino, 24, AM(LR)",  ,17(1),1465.0,1,0.6,0.5,-,0.4,0.7,0.2,-,7.12,"13ArturRed Bull Bragantino, 24, AM(LR)",  ,17(1),1465.0,3,5,2.4,2.4,1.2,1.2,0.2,0.9,2.5,7.12,"13ArturRed Bull Bragantino, 24, AM(LR)",  ,17(1),1465.0,5,2.4,28.1,78.9,1.2,0.7,0.1,7.12
"Luan CândidoRed Bull Bragantino, 21, D(L)","14Luan CândidoRed Bull Bragantino, 21, D(L)",  ,17(1),1525.0,1.3,1.2,1.1,0.2,2.4,1,0.3,-,7.09,"14Luan CândidoRed Bull Bragantino, 21, D(L)",  ,17(1),1525.0,5,2,2.1,0.6,0.3,0.5,0.4,0.4,0.8,7.09,"14Luan CândidoRed Bull Bragantino, 21, D(L)",  ,17(1),1525.0,2,0.6,33.3,77.5,0.2,0.9,-,7.09
"AndréFluminense, 21, DMC","15AndréFluminense, 21, DMC",  ,18,1577.0,1.5,1.2,1.2,-,0.6,1.4,0.6,-,7.06,"15AndréFluminense, 21, DMC",  ,18,1577.0,1,1,0.8,0.9,2.4,1.7,-,0.9,1.1,7.06,"15AndréFluminense, 21, DMC",  ,18,1577.0,1,0.9,66.7,91.5,0.2,2.6,0.2,7.06
"Steven MendozaCeara, 30, AM(CLR)","16Steven MendozaCeara, 30, AM(CLR)",  ,17(1),1491.0,0.5,0.1,1,-,0.1,0.3,-,-,7.05,"16Steven MendozaCeara, 30, AM(CLR)",  ,17(1),1491.0,9,-,2.9,1.1,2.1,2.4,0.5,2.2,2.8,7.05,"16Steven MendozaCeara, 30, AM(CLR)",  ,17(1),1491.0,-,1.1,21.8,76.8,0.6,0.7,0.1,7.05
"CássioCorinthians, 35, GK","17CássioCorinthians, 35, GK",  ,19,1710.0,-,-,-,-,1.3,0.1,-,-,7.04,"17CássioCorinthians, 35, GK",  ,19,1710.0,-,-,-,-,-,0.1,-,-,0.1,7.04,"17CássioCorinthians, 35, GK",  ,19,1710.0,-,-,25.3,68.8,-,7.3,-,7.04
"EdenílsonInternacional, 32, D(R),M(CLR)","18EdenílsonInternacional, 32, D(R),M(CLR)",  ,17(1),1520.0,1.6,0.5,0.7,-,0.6,0.7,0.2,-,7.04,"18EdenílsonInternacional, 32, D(R),M(CLR)",  ,17(1),1520.0,4,3,1.5,1.7,0.8,0.8,0.1,0.6,1.2,7.04,"18EdenílsonInternacional, 32, D(R),M(CLR)",  ,17(1),1520.0,3,1.7,40.1,87.9,1.1,1.6,0.1,7.04
"Marcelo BenevenutoFortaleza, 26, D(C)","19Marcelo BenevenutoFortaleza, 26, D(C)",  ,20(1),1773.0,1.1,1.8,0.7,0.6,4.6,0.3,1,-,7.03,"19Marcelo BenevenutoFortaleza, 26, D(C)",  ,20(1),1773.0,-,1,0.6,0.2,0.3,0.8,-,0.1,0.4,7.03,"19Marcelo BenevenutoFortaleza, 26, D(C)",  ,20(1),1773.0,1,0.2,33.9,82.9,-,2.5,-,7.03
"Jonathan CalleriSao Paulo, 28, FW","20Jonathan CalleriSao Paulo, 28, FW",  ,17(4),1654.0,0.4,0.1,1.3,-,1,0.3,-,-,7.03,"20Jonathan CalleriSao Paulo, 28, FW",  ,17(4),1654.0,11,1,2.6,0.6,0.8,1.8,0.8,0.9,2.6,7.03,"20Jonathan CalleriSao Paulo, 28, FW",  ,17(4),1654.0,1,0.6,14.5,67.8,-,0.4,-,7.03
"AyrtonFlamengo, 25, D(L),M(L)","21AyrtonFlamengo, 25, D(L),M(L)",  ,15(2),1346.0,2.2,0.9,1.4,0.2,1.5,0.8,0.4,-,7.03,"21AyrtonFlamengo, 25, D(L),M(L)",  ,15(2),1346.0,2,2,0.5,0.6,1.2,1.8,-,1.4,0.9,7.03,"21AyrtonFlamengo, 25, D(L),M(L)",  ,15(2),1346.0,2,0.6,38.8,84.1,0.2,1.4,-,7.03
"WillianCorinthians, 34, AM(CLR)","22WillianCorinthians, 34, AM(CLR)",  ,10(4),834.0,1.1,0.6,0.4,-,0.2,0.3,0.1,-,7.03,"22WillianCorinthians, 34, AM(CLR)",  ,10(4),834.0,-,2,1,1.2,2.5,2.1,0.1,0.9,1.4,7.03,"22WillianCorinthians, 34, AM(CLR)",  ,10(4),834.0,2,1.2,25.2,83.0,0.2,1.4,0.1,7.03
