Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"GabrielInternacional, 30, DMC","51GabrielInternacional, 30, DMC",  ,17(2),1513.0,3.6,1.5,1.9,-,1.6,1.6,0.4,-,6.91,"51GabrielInternacional, 30, DMC",  ,17(2),1513.0,-,-,0.5,0.4,0.2,0.8,-,0.5,0.5,6.91,"51GabrielInternacional, 30, DMC",  ,17(2),1513.0,-,0.4,48.1,89.3,0.2,2.5,-,6.91
"MarinhoFlamengo, 32, AM(CLR),FW","52MarinhoFlamengo, 32, AM(CLR),FW",  ,7(7),633.0,0.9,0.4,1,-,0.1,0.6,-,-,6.9,"52MarinhoFlamengo, 32, AM(CLR),FW",  ,7(7),633.0,2,4,1.6,0.9,1.1,2.4,-,0.5,1.4,6.9,"52MarinhoFlamengo, 32, AM(CLR),FW",  ,7(7),633.0,4,0.9,13.0,82.4,0.6,0.6,0.1,6.9
"WalterCuiaba, 34, GK","53WalterCuiaba, 34, GK",  ,20,1800.0,0.1,0.1,-,-,1.2,-,-,-,6.9,"53WalterCuiaba, 34, GK",  ,20,1800.0,-,-,-,-,-,0.2,-,-,0.1,6.9,"53WalterCuiaba, 34, GK",  ,20,1800.0,-,-,24.2,70.2,-,6.3,-,6.9
"ÂngeloSantos FC, 17, AM(R)","54ÂngeloSantos FC, 17, AM(R)",  ,5(8),519.0,0.5,0.2,0.8,-,0.1,0.2,-,-,6.9,"54ÂngeloSantos FC, 17, AM(R)",  ,5(8),519.0,-,4,1.2,1.2,3.3,0.9,0.1,0.8,1.6,6.9,"54ÂngeloSantos FC, 17, AM(R)",  ,5(8),519.0,4,1.2,12.2,81.0,0.2,0.4,0.1,6.9
"MaykePalmeiras, 29, D(R)","55MaykePalmeiras, 29, D(R)",  ,6(7),665.0,1.4,1.7,0.7,-,0.8,0.5,0.1,-,6.89,"55MaykePalmeiras, 29, D(R)",  ,6(7),665.0,1,-,0.4,1,0.7,0.2,-,0.1,0.4,6.89,"55MaykePalmeiras, 29, D(R)",  ,6(7),665.0,-,1,32.2,86.9,0.5,1.8,-,6.89
"Rodrigo MoledoInternacional, 34, D(C)","56Rodrigo MoledoInternacional, 34, D(C)",  ,7(3),549.0,1.5,1.6,0.5,0.6,3.5,-,0.9,-,6.89,"56Rodrigo MoledoInternacional, 34, D(C)",  ,7(3),549.0,-,-,1,0.1,0.1,0.8,-,-,0.5,6.89,"56Rodrigo MoledoInternacional, 34, D(C)",  ,7(3),549.0,-,0.1,22.9,86.9,-,0.5,-,6.89
"Luiz OtávioCeara, 33, D(C)","57Luiz OtávioCeara, 33, D(C)",  ,12(1),974.0,1.5,2.2,0.6,0.4,2.2,0.8,0.5,-,6.88,"57Luiz OtávioCeara, 33, D(C)",  ,12(1),974.0,1,-,0.5,0.2,0.3,0.5,0.1,0.2,0.6,6.88,"57Luiz OtávioCeara, 33, D(C)",  ,12(1),974.0,-,0.2,35.8,84.1,-,1.3,-,6.88
"Éder FerreiraAmerica MG, 27, D(C)","58Éder FerreiraAmerica MG, 27, D(C)",  ,19,1710.0,0.8,1.5,1.4,0.6,4.4,0.5,1.3,-,6.87,"58Éder FerreiraAmerica MG, 27, D(C)",  ,19,1710.0,-,2,0.2,0.2,0.4,0.2,-,0.1,0.4,6.87,"58Éder FerreiraAmerica MG, 27, D(C)",  ,19,1710.0,2,0.2,33.9,76.6,-,2.7,0.1,6.87
"LucianoSao Paulo, 29, AM(CR),FW","59LucianoSao Paulo, 29, AM(CR),FW",  ,13(4),1030.0,0.8,0.2,0.6,-,0.5,0.8,0.1,-,6.87,"59LucianoSao Paulo, 29, AM(CR),FW",  ,13(4),1030.0,7,1,2.4,0.5,1.1,0.9,0.3,0.8,0.9,6.87,"59LucianoSao Paulo, 29, AM(CR),FW",  ,13(4),1030.0,1,0.5,21.4,82.9,-,1.3,-,6.87
"AlemãoInternacional, 24, FW","60AlemãoInternacional, 24, FW",  ,7(12),842.0,0.7,0.1,1.5,-,0.2,0.4,0.1,-,6.87,"60AlemãoInternacional, 24, FW",  ,7(12),842.0,5,3,1.1,0.6,1.8,1.6,0.1,1.5,2.9,6.87,"60AlemãoInternacional, 24, FW",  ,7(12),842.0,3,0.6,10.2,68.6,0.2,0.3,-,6.87
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GilCorinthians, 35, D(C)","61GilCorinthians, 35, D(C)",  ,14,1198.0,1.3,1.4,0.5,0.7,3.4,0.4,0.8,-,6.87,"61GilCorinthians, 35, D(C)",  ,14,1198.0,-,-,0.5,0.1,-,0.4,0.1,0.1,0.3,6.87,"61GilCorinthians, 35, D(C)",  ,14,1198.0,-,0.1,50.7,85.9,-,2.6,-,6.87
"Victor SáBotafogo RJ, 28, AM(CLR)","62Victor SáBotafogo RJ, 28, AM(CLR)",  ,12,1050.0,1.6,0.9,0.6,-,0.4,1.4,0.2,-,6.87,"62Victor SáBotafogo RJ, 28, AM(CLR)",  ,12,1050.0,1,-,1.1,2.1,2.3,1,0.2,1.6,2.5,6.87,"62Victor SáBotafogo RJ, 28, AM(CLR)",  ,12,1050.0,-,2.1,27.9,81.2,0.4,0.9,0.2,6.87
"Matías ZarachoAtletico MG, 24, M(CR)","63Matías ZarachoAtletico MG, 24, M(CR)",  ,10(1),816.0,1.7,1.1,1.5,-,0.7,1.9,-,-,6.87,"63Matías ZarachoAtletico MG, 24, M(CR)",  ,10(1),816.0,2,1,1.7,1.3,0.6,1.2,-,0.8,1.9,6.87,"63Matías ZarachoAtletico MG, 24, M(CR)",  ,10(1),816.0,1,1.3,37.1,85.8,0.2,1.1,0.1,6.87
"RenêInternacional, 29, D(L)","64RenêInternacional, 29, D(L)",  ,11(1),1035.0,2.4,1.2,0.8,0.2,1.9,1.1,0.1,-,6.86,"64RenêInternacional, 29, D(L)",  ,11(1),1035.0,-,-,0.1,0.6,0.8,0.8,-,0.4,1.2,6.86,"64RenêInternacional, 29, D(L)",  ,11(1),1035.0,-,0.6,46.4,81.7,0.6,2.3,-,6.86
"Guilherme AranaAtletico MG, 25, D(L),M(L)","65Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,15(1),1361.0,1.1,0.4,1.4,0.1,0.9,0.4,0.4,-,6.86,"65Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,15(1),1361.0,-,3,2,1.6,1,0.6,0.1,0.2,1.4,6.86,"65Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,15(1),1361.0,3,1.6,64.8,88.9,1.2,2.3,-,6.86
"Samuel XavierFluminense, 32, D(R)","66Samuel XavierFluminense, 32, D(R)",  ,17(1),1481.0,1.2,0.8,0.5,0.2,1.4,0.7,0.2,-,6.86,"66Samuel XavierFluminense, 32, D(R)",  ,17(1),1481.0,1,2,1.1,0.8,0.6,1.6,0.1,0.9,0.7,6.86,"66Samuel XavierFluminense, 32, D(R)",  ,17(1),1481.0,2,0.8,44.7,85.6,0.5,1,0.2,6.86
"Zé WelisonFortaleza, 27, D(R),DMC","67Zé WelisonFortaleza, 27, D(R),DMC",  ,11(3),1013.0,1.6,1.9,1.5,0.1,0.7,0.8,0.1,-,6.86,"67Zé WelisonFortaleza, 27, D(R),DMC",  ,11(3),1013.0,1,-,1.2,0.6,1.1,0.6,-,0.9,0.6,6.86,"67Zé WelisonFortaleza, 27, D(R),DMC",  ,11(3),1013.0,-,0.6,40.1,85.6,0.3,4.1,-,6.86
"Joaquín PiquerezPalmeiras, 23, D(L)","68Joaquín PiquerezPalmeiras, 23, D(L)",  ,14,1160.0,2.3,1.9,1,0.1,1.4,1.5,0.4,-,6.85,"68Joaquín PiquerezPalmeiras, 23, D(L)",  ,14,1160.0,-,1,0.8,0.6,0.6,1.2,-,0.4,0.9,6.85,"68Joaquín PiquerezPalmeiras, 23, D(L)",  ,14,1160.0,1,0.6,41.1,81.0,-,2.1,-,6.85
"Raul GustavoCorinthians, 23, D(C)","69Raul GustavoCorinthians, 23, D(C)",  ,15(1),1395.0,1.2,1.7,0.8,0.8,3.1,0.5,0.6,-,6.85,"69Raul GustavoCorinthians, 23, D(C)",  ,15(1),1395.0,2,1,0.7,0.2,0.1,1,-,0.3,0.8,6.85,"69Raul GustavoCorinthians, 23, D(C)",  ,15(1),1395.0,1,0.2,56.6,84.7,0.1,3.1,-,6.85
"PedroFlamengo, 25, FW","70PedroFlamengo, 25, FW",  ,8(9),763.0,0.4,0.1,0.6,0.1,0.6,0.3,-,-,6.85,"70PedroFlamengo, 25, FW",  ,8(9),763.0,7,2,2,0.5,0.6,0.7,0.2,0.6,1.4,6.85,"70PedroFlamengo, 25, FW",  ,8(9),763.0,2,0.5,7.4,73.8,-,0.1,0.1,6.85
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wellington RatoAtletico GO, 30, AM(LR),FW","71Wellington RatoAtletico GO, 30, AM(LR),FW",  ,19(2),1653.0,0.7,0.2,0.9,-,0.6,1,-,-,6.84,"71Wellington RatoAtletico GO, 30, AM(LR),FW",  ,19(2),1653.0,5,1,2.9,1.2,1.1,1.6,0.2,0.7,1.3,6.84,"71Wellington RatoAtletico GO, 30, AM(LR),FW",  ,19(2),1653.0,1,1.2,28.3,80.8,0.3,1.9,-,6.84
"WevertonPalmeiras, 34, GK","72WevertonPalmeiras, 34, GK",  ,20,1800.0,-,-,-,-,0.6,0.1,-,-,6.84,"72WevertonPalmeiras, 34, GK",  ,20,1800.0,-,-,-,-,-,0.1,-,-,0.1,6.84,"72WevertonPalmeiras, 34, GK",  ,20,1800.0,-,-,26.4,71.2,-,4.4,-,6.84
"DaniloPalmeiras, 21, DMC","73DaniloPalmeiras, 21, DMC",  ,18(1),1561.0,2.2,0.9,1.2,-,0.9,1.2,0.3,-,6.84,"73DaniloPalmeiras, 21, DMC",  ,18(1),1561.0,1,1,1.3,0.8,0.8,0.6,0.1,0.9,0.8,6.84,"73DaniloPalmeiras, 21, DMC",  ,18(1),1561.0,1,0.8,38.6,83.0,0.2,2.4,-,6.84
"MarllonCuiaba, 30, D(C)","74MarllonCuiaba, 30, D(C)",  ,21,1890.0,1.7,1.3,0.8,0.5,4.3,0.3,0.9,-,6.83,"74MarllonCuiaba, 30, D(C)",  ,21,1890.0,-,-,0.7,-,0.3,0.4,-,0.2,0.3,6.83,"74MarllonCuiaba, 30, D(C)",  ,21,1890.0,-,-,41.5,85.7,-,2.4,-,6.83
"MessiasCeara, 27, D(C)","75MessiasCeara, 27, D(C)",  ,18,1620.0,0.5,0.9,1,0.7,4.6,0.2,0.9,-,6.83,"75MessiasCeara, 27, D(C)",  ,18,1620.0,-,-,0.7,0.3,0.1,0.3,-,0.1,0.1,6.83,"75MessiasCeara, 27, D(C)",  ,18,1620.0,-,0.3,33.2,77.8,-,1.7,-,6.83
"Roberto FernándezBotafogo RJ, 34, GK","76Roberto FernándezBotafogo RJ, 34, GK",  ,19,1710.0,0.1,-,-,-,0.8,0.1,-,-,6.83,"76Roberto FernándezBotafogo RJ, 34, GK",  ,19,1710.0,-,-,-,-,-,0.2,-,-,0.1,6.83,"76Roberto FernándezBotafogo RJ, 34, GK",  ,19,1710.0,-,-,23.3,66.1,-,4.6,-,6.83
"João GomesFlamengo, 21, DMC","77João GomesFlamengo, 21, DMC",  ,13(3),1082.0,3.2,0.7,1.8,0.1,0.6,1.9,0.1,-,6.83,"77João GomesFlamengo, 21, DMC",  ,13(3),1082.0,-,1,0.6,0.6,1,1.9,-,0.9,1.1,6.83,"77João GomesFlamengo, 21, DMC",  ,13(3),1082.0,1,0.6,35.7,87.7,0.1,1.3,0.1,6.83
"Marcos LeonardoSantos FC, 19, FW","78Marcos LeonardoSantos FC, 19, FW",  ,19(1),1608.0,0.1,0.1,1.1,-,0.8,0.4,0.1,-,6.83,"78Marcos LeonardoSantos FC, 19, FW",  ,19(1),1608.0,8,2,2.7,0.8,0.8,2.6,0.6,0.7,2.4,6.83,"78Marcos LeonardoSantos FC, 19, FW",  ,19(1),1608.0,2,0.8,10.0,72.4,0.1,0.2,-,6.83
"AdsonCorinthians, 21, AM(LR)","79AdsonCorinthians, 21, AM(LR)",  ,10(8),934.0,1.5,0.6,0.8,-,0.4,0.2,-,-,6.83,"79AdsonCorinthians, 21, AM(LR)",  ,10(8),934.0,3,-,0.9,0.5,1.9,0.9,-,0.8,1.8,6.83,"79AdsonCorinthians, 21, AM(LR)",  ,10(8),934.0,-,0.5,25.4,83.0,0.1,0.2,0.1,6.83
"EgídioCoritiba, 36, D(L)","80EgídioCoritiba, 36, D(L)",  ,10(4),1033.0,2,1.3,0.7,0.1,1.4,2,0.1,-,6.82,"80EgídioCoritiba, 36, D(L)",  ,10(4),1033.0,-,2,0.6,1.5,1.2,1.1,0.1,0.1,1.4,6.82,"80EgídioCoritiba, 36, D(L)",  ,10(4),1033.0,2,1.5,33.3,82.8,1.2,1.4,-,6.82
"DanielInternacional, 28, GK","81DanielInternacional, 28, GK",  ,20,1800.0,-,0.1,-,-,1,0.1,-,-,6.82,"81DanielInternacional, 28, GK",  ,20,1800.0,-,-,-,-,0.1,0.3,-,-,0.1,6.82,"81DanielInternacional, 28, GK",  ,20,1800.0,-,-,21.2,61.5,-,5,-,6.82
"Richard CândidoCeara, 28, DMC","82Richard CândidoCeara, 28, DMC",  ,18,1438.0,2.2,0.6,2,-,1.8,1.3,0.6,-,6.81,"82Richard CândidoCeara, 28, DMC",  ,18,1438.0,-,1,0.9,0.4,0.7,1.2,0.2,0.9,1.2,6.81,"82Richard CândidoCeara, 28, DMC",  ,18,1438.0,1,0.4,44.4,86.8,0.1,2.8,-,6.81
"PepêCuiaba, 24, M(C)","83PepêCuiaba, 24, M(C)",  ,16(1),1387.0,2.7,0.6,1.6,-,1.1,1.2,0.1,-,6.81,"83PepêCuiaba, 24, M(C)",  ,16(1),1387.0,-,-,1.1,1.2,1.2,1.8,-,1.4,1.7,6.81,"83PepêCuiaba, 24, M(C)",  ,16(1),1387.0,-,1.2,39.0,86.9,0.5,3.2,0.1,6.81
"Lucas PiresSantos FC, 21, D(L)","84Lucas PiresSantos FC, 21, D(L)",  ,12(2),1067.0,2.6,0.9,0.9,0.1,0.9,1.1,0.4,-,6.81,"84Lucas PiresSantos FC, 21, D(L)",  ,12(2),1067.0,-,-,0.8,1.8,1.1,0.5,0.1,1,1.3,6.81,"84Lucas PiresSantos FC, 21, D(L)",  ,12(2),1067.0,-,1.8,33.5,73.1,2.3,1.4,-,6.81
"Fábio SantosCorinthians, 36, D(L)","85Fábio SantosCorinthians, 36, D(L)",  ,11(2),930.0,1.1,0.8,0.7,0.1,2.2,0.8,0.1,-,6.81,"85Fábio SantosCorinthians, 36, D(L)",  ,11(2),930.0,3,-,0.3,0.5,0.2,0.5,-,0.2,0.6,6.81,"85Fábio SantosCorinthians, 36, D(L)",  ,11(2),930.0,-,0.5,52.0,86.5,0.2,1.1,0.1,6.81
"GugaAtletico MG, 23, D(R),M(R)","86GugaAtletico MG, 23, D(R),M(R)",  ,11(1),981.0,2.7,1.2,0.8,0.1,0.9,0.8,0.2,-,6.8,"86GugaAtletico MG, 23, D(R),M(R)",  ,11(1),981.0,-,-,0.9,0.8,0.6,1.1,-,0.4,0.8,6.8,"86GugaAtletico MG, 23, D(R),M(R)",  ,11(1),981.0,-,0.8,43.4,84.1,0.9,1.4,-,6.8
"JailsonAmerica MG, 41, GK","87JailsonAmerica MG, 41, GK",  ,12,1080.0,-,-,-,-,1,-,-,-,6.8,"87JailsonAmerica MG, 41, GK",  ,12,1080.0,-,-,-,-,-,-,-,0.1,-,6.8,"87JailsonAmerica MG, 41, GK",  ,12,1080.0,-,-,23.8,64.9,-,7.2,-,6.8
"Gabriel VeronPalmeiras, 19, AM(LR)","88Gabriel VeronPalmeiras, 19, AM(LR)",  ,7(5),569.0,1.2,0.5,0.3,-,0.2,0.2,-,-,6.79,"88Gabriel VeronPalmeiras, 19, AM(LR)",  ,7(5),569.0,1,3,0.9,0.9,0.9,0.5,-,0.8,0.8,6.79,"88Gabriel VeronPalmeiras, 19, AM(LR)",  ,7(5),569.0,3,0.9,10.3,81.3,-,0.4,-,6.79
"RubensAtletico MG, 21, D(L)","89RubensAtletico MG, 21, D(L)",  ,8(9),912.0,3.2,0.8,1.2,0.1,1.1,0.8,0.1,-,6.79,"89RubensAtletico MG, 21, D(L)",  ,8(9),912.0,1,-,1.1,0.5,1.1,0.7,-,0.6,1.3,6.79,"89RubensAtletico MG, 21, D(L)",  ,8(9),912.0,-,0.5,18.9,77.9,0.4,0.6,-,6.79
"Fabricio BustosInternacional, 26, D(R)","90Fabricio BustosInternacional, 26, D(R)",  ,17,1419.0,1.6,0.8,0.6,0.4,1.5,0.6,0.2,-,6.79,"90Fabricio BustosInternacional, 26, D(R)",  ,17,1419.0,2,2,0.6,1.2,0.4,0.4,0.1,0.5,0.6,6.79,"90Fabricio BustosInternacional, 26, D(R)",  ,17,1419.0,2,1.2,42.9,80.1,0.4,1.5,-,6.79
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PabloFlamengo, 31, D(C)","91PabloFlamengo, 31, D(C)",  ,12(1),1047.0,1.2,1.7,1.5,0.3,3.8,0.3,0.5,-,6.79,"91PabloFlamengo, 31, D(C)",  ,12(1),1047.0,-,-,0.6,0.2,0.1,0.2,0.1,0.1,0.3,6.79,"91PabloFlamengo, 31, D(C)",  ,12(1),1047.0,-,0.2,51.8,89.9,-,3.3,-,6.79
"PatrickSao Paulo, 30, M(CL)","92PatrickSao Paulo, 30, M(CL)",  ,12(4),972.0,2.3,0.4,1.1,-,0.5,1.1,0.1,-,6.79,"92PatrickSao Paulo, 30, M(CL)",  ,12(4),972.0,4,1,1.1,0.9,0.9,1.3,0.1,1.4,2.2,6.79,"92PatrickSao Paulo, 30, M(CL)",  ,12(4),972.0,1,0.9,20.3,79.0,0.6,0.2,0.1,6.79
"Rodrigo FernándezSantos FC, 26, DMC","93Rodrigo FernándezSantos FC, 26, DMC",  ,18(1),1562.0,3.4,0.7,2.5,-,1.1,2.9,0.2,-,6.79,"93Rodrigo FernándezSantos FC, 26, DMC",  ,18(1),1562.0,-,-,0.5,0.3,1.1,1.1,-,0.6,0.7,6.79,"93Rodrigo FernándezSantos FC, 26, DMC",  ,18(1),1562.0,-,0.3,46.8,84.6,0.2,3.2,0.1,6.79
"Renato AugustoCorinthians, 34, M(CLR),FW","94Renato AugustoCorinthians, 34, M(CLR),FW",  ,10(4),874.0,1.4,0.9,0.6,0.1,0.5,0.6,0.1,-,6.79,"94Renato AugustoCorinthians, 34, M(CLR),FW",  ,10(4),874.0,1,1,1.6,1.3,0.4,0.9,0.1,0.1,1.8,6.79,"94Renato AugustoCorinthians, 34, M(CLR),FW",  ,10(4),874.0,1,1.3,40.1,88.1,0.4,2.1,0.1,6.79
"ErickAthletico Paranaense, 24, D(R),DMC","95ErickAthletico Paranaense, 24, D(R),DMC",  ,12(6),1100.0,1.8,0.9,1.1,-,1.8,1.1,0.7,-,6.79,"95ErickAthletico Paranaense, 24, D(R),DMC",  ,12(6),1100.0,1,-,0.6,0.2,0.6,0.6,-,0.4,0.7,6.79,"95ErickAthletico Paranaense, 24, D(R),DMC",  ,12(6),1100.0,-,0.2,20.9,84.6,0.1,1.2,-,6.79
"ManoelFluminense, 32, D(C)","96ManoelFluminense, 32, D(C)",  ,17,1374.0,0.7,0.8,0.9,0.4,3,0.4,0.8,-,6.79,"96ManoelFluminense, 32, D(C)",  ,17,1374.0,3,1,0.8,0.2,0.1,0.8,-,0.2,0.6,6.79,"96ManoelFluminense, 32, D(C)",  ,17,1374.0,1,0.2,52.5,90.5,-,4.8,-,6.79
"EveraldoAmerica MG, 28, AM(CLR)","97EveraldoAmerica MG, 28, AM(CLR)",  ,12(3),949.0,1.1,0.5,1.1,-,-,1.1,0.1,-,6.78,"97EveraldoAmerica MG, 28, AM(CLR)",  ,12(3),949.0,2,2,1.7,1.3,1.3,2.3,0.2,0.6,1.5,6.78,"97EveraldoAmerica MG, 28, AM(CLR)",  ,12(3),949.0,2,1.3,24.4,80.6,1.1,0.9,0.1,6.78
"RonyPalmeiras, 27, AM(LR),FW","98RonyPalmeiras, 27, AM(LR),FW",  ,15(3),1288.0,0.5,0.2,1.1,-,0.6,0.9,0.1,-,6.78,"98RonyPalmeiras, 27, AM(LR),FW",  ,15(3),1288.0,7,-,2.3,0.7,0.3,1,0.7,0.6,1.7,6.78,"98RonyPalmeiras, 27, AM(LR),FW",  ,15(3),1288.0,-,0.7,10.1,68.5,-,0.1,-,6.78
"BentoAthletico Paranaense, 23, GK","99BentoAthletico Paranaense, 23, GK",  ,21,1890.0,-,-,-,-,1,-,-,-,6.78,"99BentoAthletico Paranaense, 23, GK",  ,21,1890.0,-,-,-,-,-,-,-,-,-,6.78,"99BentoAthletico Paranaense, 23, GK",  ,21,1890.0,-,-,22.6,49.9,-,3.5,-,6.78
"Rafael RamosCorinthians, 27, D(R)","101Rafael RamosCorinthians, 27, D(R)",  ,14(2),1178.0,2.1,1,1.1,0.3,1.2,0.8,0.1,-,6.78,"101Rafael RamosCorinthians, 27, D(R)",  ,14(2),1178.0,-,1,0.4,0.7,0.9,0.7,-,0.3,0.4,6.78,"101Rafael RamosCorinthians, 27, D(R)",  ,14(2),1178.0,1,0.7,41.3,78.5,0.3,2.1,-,6.78
"VitãoInternacional, 22, D(C)","102VitãoInternacional, 22, D(C)",  ,15,1349.0,1.1,0.3,0.5,0.6,4.9,0.4,1,-,6.77,"102VitãoInternacional, 22, D(C)",  ,15,1349.0,1,-,0.4,-,-,0.2,-,0.1,0.1,6.77,"102VitãoInternacional, 22, D(C)",  ,15,1349.0,-,-,37.3,83.5,-,2.1,-,6.77
"MádsonSantos FC, 30, D(R),M(R)","103MádsonSantos FC, 30, D(R),M(R)",  ,17,1411.0,1.3,1.1,0.8,0.2,2.4,0.5,0.6,-,6.77,"103MádsonSantos FC, 30, D(R),M(R)",  ,17,1411.0,1,1,0.3,1,-,0.8,0.1,0.1,0.5,6.77,"103MádsonSantos FC, 30, D(R),M(R)",  ,17,1411.0,1,1,29.4,83.0,0.4,1.1,-,6.77
"Caio PaulistaFluminense, 24, D(L),M(LR)","104Caio PaulistaFluminense, 24, D(L),M(LR)",  ,11(8),1094.0,1.1,0.3,0.4,0.2,0.7,0.5,0.1,-,6.77,"104Caio PaulistaFluminense, 24, D(L),M(LR)",  ,11(8),1094.0,-,3,1,0.9,2.1,1,-,1.3,1.5,6.77,"104Caio PaulistaFluminense, 24, D(L),M(LR)",  ,11(8),1094.0,3,0.9,28.2,86.2,0.3,0.2,0.1,6.77
"David TeransAthletico Paranaense, 28, AM(CL)","105David TeransAthletico Paranaense, 28, AM(CL)",  ,14(3),1091.0,0.5,0.3,0.8,-,-,0.6,-,-,6.77,"105David TeransAthletico Paranaense, 28, AM(CL)",  ,14(3),1091.0,7,2,2.6,1.4,1.1,0.5,0.2,0.8,2.2,6.77,"105David TeransAthletico Paranaense, 28, AM(CL)",  ,14(3),1091.0,2,1.4,20.4,78.1,0.8,1.3,-,6.77
"MoisésFortaleza, 25, AM(L),FW","106MoisésFortaleza, 25, AM(L),FW",  ,19(3),1541.0,0.3,0.2,0.3,-,0.5,1,0.1,-,6.77,"106MoisésFortaleza, 25, AM(L),FW",  ,19(3),1541.0,4,2,1.9,1.1,2.1,0.6,0.2,1.4,1.9,6.77,"106MoisésFortaleza, 25, AM(L),FW",  ,19(3),1541.0,2,1.1,16.9,74.4,0.1,0.9,-,6.77
"Nathan SilvaAtletico MG, 25, D(C),DMC","107Nathan SilvaAtletico MG, 25, D(C),DMC",  ,12(1),1103.0,1.2,1,1.8,-,3.3,0.1,0.7,-,6.76,"107Nathan SilvaAtletico MG, 25, D(C),DMC",  ,12(1),1103.0,-,-,0.6,0.2,-,0.2,-,0.1,0.2,6.76,"107Nathan SilvaAtletico MG, 25, D(C),DMC",  ,12(1),1103.0,-,0.2,52.0,92.0,-,2,-,6.76
"Lucas BragaSantos FC, 25, M(LR)","108Lucas BragaSantos FC, 25, M(LR)",  ,12(8),1254.0,0.7,0.5,0.6,-,0.7,0.5,0.1,-,6.75,"108Lucas BragaSantos FC, 25, M(LR)",  ,12(8),1254.0,1,-,1.1,0.6,2.1,2.1,0.2,1,1.2,6.75,"108Lucas BragaSantos FC, 25, M(LR)",  ,12(8),1254.0,-,0.6,19.1,82.9,0.3,0.4,0.1,6.75
"Léo GamalhoCoritiba, 36, FW","109Léo GamalhoCoritiba, 36, FW",  ,14(3),1276.0,0.6,-,1.1,-,0.5,0.4,0.1,-,6.75,"109Léo GamalhoCoritiba, 36, FW",  ,14(3),1276.0,7,-,1.7,0.7,0.1,1.5,0.4,0.9,1,6.75,"109Léo GamalhoCoritiba, 36, FW",  ,14(3),1276.0,-,0.7,13.3,75.7,-,0.4,-,6.75
"Alan PatrickInternacional, 31, M(CLR)","111Alan PatrickInternacional, 31, M(CLR)",  ,9(2),651.0,0.6,0.2,0.6,-,0.3,0.7,-,-,6.75,"111Alan PatrickInternacional, 31, M(CLR)",  ,9(2),651.0,2,2,1.2,1.5,1,2.1,-,1.8,1.8,6.75,"111Alan PatrickInternacional, 31, M(CLR)",  ,9(2),651.0,2,1.5,26.5,87.3,0.3,1,0.2,6.75
"LimaCeara, 26, AM(CLR)","112LimaCeara, 26, AM(CLR)",  ,15(2),1211.0,1.3,0.6,0.9,0.1,0.5,1.1,0.2,-,6.75,"112LimaCeara, 26, AM(CLR)",  ,15(2),1211.0,2,-,1.8,1.2,1.1,1.9,0.1,1.8,1.5,6.75,"112LimaCeara, 26, AM(CLR)",  ,15(2),1211.0,-,1.2,31.5,86.8,0.7,0.9,0.1,6.75
"Raphael VeigaPalmeiras, 27, AM(CLR)","113Raphael VeigaPalmeiras, 27, AM(CLR)",  ,15(2),1122.0,0.7,0.1,0.9,-,0.3,0.5,-,-,6.75,"113Raphael VeigaPalmeiras, 27, AM(CLR)",  ,15(2),1122.0,2,3,2.2,1.5,1.2,1.8,0.2,1.4,1.6,6.75,"113Raphael VeigaPalmeiras, 27, AM(CLR)",  ,15(2),1122.0,3,1.5,24.7,85.5,0.7,1.2,-,6.75
"KevinAvai FC, 24, D(R),M(R)","114KevinAvai FC, 24, D(R),M(R)",  ,21,1801.0,2,0.9,1,0.2,1.9,1.2,0.2,-,6.75,"114KevinAvai FC, 24, D(R),M(R)",  ,21,1801.0,1,1,0.7,1.4,0.5,0.5,-,0.3,0.7,6.75,"114KevinAvai FC, 24, D(R),M(R)",  ,21,1801.0,1,1.4,49.9,81.9,1,3,-,6.75
"FábioFluminense, 41, GK","115FábioFluminense, 41, GK",  ,22,1980.0,-,-,-,-,0.9,-,-,-,6.74,"115FábioFluminense, 41, GK",  ,22,1980.0,-,-,-,-,-,0.1,-,-,-,6.74,"115FábioFluminense, 41, GK",  ,22,1980.0,-,-,20.7,75.4,-,2.7,-,6.74
"CleitonRed Bull Bragantino, 24, GK","116CleitonRed Bull Bragantino, 24, GK",  ,21,1890.0,-,-,-,-,1.4,-,-,-,6.74,"116CleitonRed Bull Bragantino, 24, GK",  ,21,1890.0,-,-,-,0.1,-,0.3,-,-,-,6.74,"116CleitonRed Bull Bragantino, 24, GK",  ,21,1890.0,-,0.1,29.6,67.5,-,7,-,6.74
