Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gustavo GómezPalmeiras, 29, D(C)","11Gustavo GómezPalmeiras, 29, D(C)",  ,8,720.0,1.1,1.9,1.1,0.1,3.3,0.6,1.1,-,7.1,"11Gustavo GómezPalmeiras, 29, D(C)",  ,8,720.0,2,-,0.5,0.3,0.1,0.9,0.4,0.1,0.5,7.1,"11Gustavo GómezPalmeiras, 29, D(C)",  ,8,720.0,-,0.3,47.9,82.2,-,3.1,-,7.1,"11Gustavo GómezPalmeiras, 29, D(C)",  ,8,720.0,2,-,-,-,0.5,82.2,3,1,7.1
"Pedro HenriqueAthletico Paranaense, 26, D(C)","12Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8(1),723.0,1.8,2.2,1,0.3,5.4,0.6,1,-,7.05,"12Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8(1),723.0,-,-,0.3,0.6,-,1,-,0.1,0.2,7.05,"12Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8(1),723.0,-,0.6,36.9,78.3,0.1,5,-,7.05,"12Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8(1),723.0,-,-,4,-,0.3,78.3,2.8,1,7.05
"Eduardo BauermannSantos FC, 26, D(C)","13Eduardo BauermannSantos FC, 26, D(C)",  ,9,810.0,0.8,1.1,0.4,0.6,5.2,0.4,1.3,-,7.05,"13Eduardo BauermannSantos FC, 26, D(C)",  ,9,810.0,1,-,0.7,-,0.3,0.9,-,-,0.2,7.05,"13Eduardo BauermannSantos FC, 26, D(C)",  ,9,810.0,-,-,49.7,82.8,-,2.9,-,7.05,"13Eduardo BauermannSantos FC, 26, D(C)",  ,9,810.0,1,-,2,-,0.7,82.8,2.3,1,7.05
"TadeuGoias, 30, GK","14TadeuGoias, 30, GK",  ,11,990.0,-,0.2,-,-,1,-,-,-,7.04,"14TadeuGoias, 30, GK",  ,11,990.0,-,-,-,0.1,0.1,0.5,-,-,-,7.04,"14TadeuGoias, 30, GK",  ,11,990.0,-,0.1,30.5,63.4,-,9.5,-,7.04,"14TadeuGoias, 30, GK",  ,11,990.0,-,-,-,-,-,63.4,0.6,1,7.04
"GansoFluminense, 32, AM(C)","15GansoFluminense, 32, AM(C)",  ,11,782.0,1.3,0.2,0.5,-,0.2,0.3,-,-,7.04,"15GansoFluminense, 32, AM(C)",  ,11,782.0,3,2,0.5,2.5,1,1.3,-,0.9,0.6,7.04,"15GansoFluminense, 32, AM(C)",  ,11,782.0,2,2.5,56.5,89.1,0.6,1.2,0.3,7.04,"15GansoFluminense, 32, AM(C)",  ,11,782.0,3,2,2,-,0.5,89.1,0.5,2,7.04
"Éder FerreiraAmerica MG, 27, D(C)","16Éder FerreiraAmerica MG, 27, D(C)",  ,8,720.0,1.3,2.4,1.5,0.8,4.4,0.6,1.3,-,7.03,"16Éder FerreiraAmerica MG, 27, D(C)",  ,8,720.0,-,1,0.4,0.3,0.6,0.3,-,-,0.4,7.03,"16Éder FerreiraAmerica MG, 27, D(C)",  ,8,720.0,1,0.3,30.0,74.6,-,2.8,0.1,7.03,"16Éder FerreiraAmerica MG, 27, D(C)",  ,8,720.0,-,1,1,-,0.4,74.6,3,-,7.03
"DiegoGoias, 26, D(R),M(R)","17DiegoGoias, 26, D(R),M(R)",  ,9,797.0,2.2,1.6,0.7,0.3,1.6,0.9,0.8,-,7.02,"17DiegoGoias, 26, D(R),M(R)",  ,9,797.0,-,-,0.7,0.4,2.6,1.4,-,0.8,1.6,7.02,"17DiegoGoias, 26, D(R),M(R)",  ,9,797.0,-,0.4,25.3,86.4,0.3,1.6,-,7.02,"17DiegoGoias, 26, D(R),M(R)",  ,9,797.0,-,-,1,-,0.7,86.4,1,-,7.02
"Victor SáBotafogo RJ, 28, AM(CLR)","18Victor SáBotafogo RJ, 28, AM(CLR)",  ,6,540.0,2.3,1,0.3,-,0.3,1.3,0.3,-,7.01,"18Victor SáBotafogo RJ, 28, AM(CLR)",  ,6,540.0,1,-,1.2,2.2,2,1.2,-,1.2,2.5,7.01,"18Victor SáBotafogo RJ, 28, AM(CLR)",  ,6,540.0,-,2.2,29.0,81.0,0.7,1,0.2,7.01,"18Victor SáBotafogo RJ, 28, AM(CLR)",  ,6,540.0,1,-,-,-,1.2,81.0,0.5,-,7.01
