Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"EdenílsonInternacional, 32, D(R),M(CLR)","46EdenílsonInternacional, 32, D(R),M(CLR)",  ,9(1),806.0,1.2,0.5,0.7,-,0.8,0.2,0.1,-,6.88,"46EdenílsonInternacional, 32, D(R),M(CLR)",  ,9(1),806.0,1,1,1,1.6,0.7,1,-,0.5,1.1,6.88,"46EdenílsonInternacional, 32, D(R),M(CLR)",  ,9(1),806.0,1,1.6,38.5,88.8,0.9,1.7,-,6.88,"46EdenílsonInternacional, 32, D(R),M(CLR)",  ,9(1),806.0,1,1,2,-,1,88.8,0.6,1,6.88
"ManoelFluminense, 32, D(C)","47ManoelFluminense, 32, D(C)",  ,7,559.0,0.7,0.9,0.7,0.6,3.4,0.3,1,-,6.87,"47ManoelFluminense, 32, D(C)",  ,7,559.0,2,-,0.9,0.1,-,0.4,-,0.3,0.3,6.87,"47ManoelFluminense, 32, D(C)",  ,7,559.0,-,0.1,55.9,89.5,-,5,-,6.87,"47ManoelFluminense, 32, D(C)",  ,7,559.0,2,-,1,-,0.9,89.5,1,-,6.87
"Luiz HenriqueFluminense, 21, AM(LR)","48Luiz HenriqueFluminense, 21, AM(LR)",  ,7,564.0,1.9,0.9,2.3,-,0.4,1.1,0.1,-,6.86,"48Luiz HenriqueFluminense, 21, AM(LR)",  ,7,564.0,1,1,2,0.3,1.3,1.4,0.1,2.3,3,6.86,"48Luiz HenriqueFluminense, 21, AM(LR)",  ,7,564.0,1,0.3,23.1,63.0,0.3,0.4,-,6.86,"48Luiz HenriqueFluminense, 21, AM(LR)",  ,7,564.0,1,1,-,-,2,63.0,1.7,-,6.86
"ÂngeloSantos FC, 17, AM(R)","49ÂngeloSantos FC, 17, AM(R)",  ,1(6),220.0,0.6,0.3,0.6,-,-,-,-,-,6.86,"49ÂngeloSantos FC, 17, AM(R)",  ,1(6),220.0,-,2,0.9,1,3.1,0.7,-,0.7,1.6,6.86,"49ÂngeloSantos FC, 17, AM(R)",  ,1(6),220.0,2,1,10.3,75.0,0.1,0.3,0.1,6.86,"49ÂngeloSantos FC, 17, AM(R)",  ,1(6),220.0,-,2,3,-,0.9,75.0,0.1,-,6.86
"Willian ArãoFlamengo, 30, D(C),M(C)","50Willian ArãoFlamengo, 30, D(C),M(C)",  ,5(2),503.0,1.4,0.9,1.1,-,1.7,0.7,0.7,-,6.86,"50Willian ArãoFlamengo, 30, D(C),M(C)",  ,5(2),503.0,2,-,0.9,0.6,0.3,0.6,-,0.1,0.4,6.86,"50Willian ArãoFlamengo, 30, D(C),M(C)",  ,5(2),503.0,-,0.6,47.6,89.2,0.1,2.9,-,6.86,"50Willian ArãoFlamengo, 30, D(C),M(C)",  ,5(2),503.0,2,-,1,-,0.9,89.2,1.6,-,6.86
"RonaldoAtletico GO, 25, GK","51RonaldoAtletico GO, 25, GK",  ,9,810.0,0.1,-,-,0.1,1,-,-,-,6.85,"51RonaldoAtletico GO, 25, GK",  ,9,810.0,-,-,-,0.2,-,0.1,-,-,-,6.85,"51RonaldoAtletico GO, 25, GK",  ,9,810.0,-,0.2,25.1,68.1,-,6,-,6.85,"51RonaldoAtletico GO, 25, GK",  ,9,810.0,-,-,1,-,-,68.1,0.2,1,6.85
"Renato AugustoCorinthians, 34, M(CLR),FW","52Renato AugustoCorinthians, 34, M(CLR),FW",  ,3(4),373.0,1.3,0.6,0.1,-,0.4,0.3,0.1,-,6.85,"52Renato AugustoCorinthians, 34, M(CLR),FW",  ,3(4),373.0,1,1,1.4,1.6,0.1,0.7,-,0.1,0.9,6.85,"52Renato AugustoCorinthians, 34, M(CLR),FW",  ,3(4),373.0,1,1.6,32.4,90.3,0.3,1.7,0.3,6.85,"52Renato AugustoCorinthians, 34, M(CLR),FW",  ,3(4),373.0,1,1,-,-,1.4,90.3,0.4,1,6.85
"João RicardoCeara, 33, GK","53João RicardoCeara, 33, GK",  ,11,990.0,-,-,-,-,1.2,-,-,-,6.84,"53João RicardoCeara, 33, GK",  ,11,990.0,-,-,-,-,-,-,-,-,-,6.84,"53João RicardoCeara, 33, GK",  ,11,990.0,-,-,27.3,60.3,-,7.5,-,6.84,"53João RicardoCeara, 33, GK",  ,11,990.0,-,-,3,-,-,60.3,0.3,-,6.84
"Jhojan JulioSantos FC, 24, AM(L)","54Jhojan JulioSantos FC, 24, AM(L)",  ,5,363.0,2,1,1.8,-,0.4,1.4,0.2,-,6.84,"54Jhojan JulioSantos FC, 24, AM(L)",  ,5,363.0,-,2,1.4,1.6,1.4,2,0.6,2.2,2.2,6.84,"54Jhojan JulioSantos FC, 24, AM(L)",  ,5,363.0,2,1.6,24.2,83.5,0.6,1.2,-,6.84,"54Jhojan JulioSantos FC, 24, AM(L)",  ,5,363.0,-,2,1,-,1.4,83.5,1.4,-,6.84
"FábioFluminense, 41, GK","55FábioFluminense, 41, GK",  ,11,990.0,-,-,-,-,0.6,0.1,-,-,6.83,"55FábioFluminense, 41, GK",  ,11,990.0,-,-,-,-,-,0.1,-,-,-,6.83,"55FábioFluminense, 41, GK",  ,11,990.0,-,-,22.2,75.4,-,3.5,-,6.83,"55FábioFluminense, 41, GK",  ,11,990.0,-,-,-,-,-,75.4,0.4,1,6.83
"MoisésFortaleza, 25, AM(L),FW","56MoisésFortaleza, 25, AM(L),FW",  ,9(2),736.0,0.1,0.2,0.4,-,0.9,1,0.1,-,6.83,"56MoisésFortaleza, 25, AM(L),FW",  ,9(2),736.0,4,1,1.8,0.6,1.9,0.5,0.2,1.4,1.8,6.83,"56MoisésFortaleza, 25, AM(L),FW",  ,9(2),736.0,1,0.6,13.8,73.7,-,0.5,-,6.83,"56MoisésFortaleza, 25, AM(L),FW",  ,9(2),736.0,4,1,-,-,1.8,73.7,0.3,-,6.83
"MirandaSao Paulo, 37, D(C)","57MirandaSao Paulo, 37, D(C)",  ,5,450.0,1.8,1,0.6,0.6,4.8,0.4,1,-,6.83,"57MirandaSao Paulo, 37, D(C)",  ,5,450.0,-,-,0.6,-,0.4,0.6,-,-,-,6.83,"57MirandaSao Paulo, 37, D(C)",  ,5,450.0,-,-,37.2,86.6,-,3.6,-,6.83,"57MirandaSao Paulo, 37, D(C)",  ,5,450.0,-,-,-,-,0.6,86.6,1.6,-,6.83
"Guilherme AranaAtletico MG, 25, D(L),M(L)","58Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,9,794.0,1,0.3,1.2,-,1.1,0.6,0.3,-,6.83,"58Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,9,794.0,-,3,2.1,1.6,0.9,0.9,0.1,0.3,1.7,6.83,"58Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,9,794.0,3,1.6,67.0,89.6,1,1.3,-,6.83,"58Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,9,794.0,-,3,1,-,2.1,89.6,0.4,-,6.83
"Vinícius SilvaGoias, 29, AM(LR),FW","59Vinícius SilvaGoias, 29, AM(LR),FW",  ,5(1),520.0,0.7,1,0.3,0.2,0.5,1.3,-,-,6.82,"59Vinícius SilvaGoias, 29, AM(LR),FW",  ,5(1),520.0,-,1,2.3,1.7,2.2,1.3,0.3,1,2.3,6.82,"59Vinícius SilvaGoias, 29, AM(LR),FW",  ,5(1),520.0,1,1.7,27.5,71.5,0.2,0.8,-,6.82,"59Vinícius SilvaGoias, 29, AM(LR),FW",  ,5(1),520.0,-,1,-,-,2.3,71.5,0.5,-,6.82
"Luan GarciaPalmeiras, 29, D(C)","60Luan GarciaPalmeiras, 29, D(C)",  ,5,423.0,1,1.8,1.6,0.2,4.6,0.2,0.2,-,6.82,"60Luan GarciaPalmeiras, 29, D(C)",  ,5,423.0,-,-,0.6,0.2,-,0.4,-,-,0.8,6.82,"60Luan GarciaPalmeiras, 29, D(C)",  ,5,423.0,-,0.2,48.8,86.5,-,5.8,-,6.82,"60Luan GarciaPalmeiras, 29, D(C)",  ,5,423.0,-,-,1,-,0.6,86.5,2,-,6.82
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gustavo MantuanCorinthians, 21, M(R)","61Gustavo MantuanCorinthians, 21, M(R)",  ,7(1),597.0,0.6,0.6,0.5,-,0.9,1.3,0.1,-,6.82,"61Gustavo MantuanCorinthians, 21, M(R)",  ,7(1),597.0,2,1,1.1,0.4,1.4,1,0.1,0.6,2.9,6.82,"61Gustavo MantuanCorinthians, 21, M(R)",  ,7(1),597.0,1,0.4,27.6,79.6,0.4,1,0.3,6.82,"61Gustavo MantuanCorinthians, 21, M(R)",  ,7(1),597.0,2,1,-,-,1.1,79.6,0.6,1,6.82
"JoaquimCuiaba, 23, D(C)","62JoaquimCuiaba, 23, D(C)",  ,4(1),363.0,1.8,0.8,1.2,0.4,5.6,0.2,0.2,-,6.82,"62JoaquimCuiaba, 23, D(C)",  ,4(1),363.0,1,-,0.2,-,0.4,0.6,-,-,1.2,6.82,"62JoaquimCuiaba, 23, D(C)",  ,4(1),363.0,-,-,32.0,78.1,-,2.2,-,6.82,"62JoaquimCuiaba, 23, D(C)",  ,4(1),363.0,1,-,-,-,0.2,78.1,2.2,-,6.82
"Nicolás HernándezAthletico Paranaense, 24, D(C)","63Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,6(1),564.0,1.1,1.1,0.7,0.1,4.3,0.4,1,-,6.82,"63Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,6(1),564.0,-,-,0.3,0.1,-,-,-,-,0.1,6.82,"63Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,6(1),564.0,-,0.1,31.3,80.4,-,2,-,6.82,"63Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,6(1),564.0,-,-,1,-,0.3,80.4,1.4,-,6.82
"Fabrício DanielCoritiba, 25, AM(CR),FW","64Fabrício DanielCoritiba, 25, AM(CR),FW",  ,3(3),250.0,1.3,0.2,0.3,-,-,0.7,-,-,6.81,"64Fabrício DanielCoritiba, 25, AM(CR),FW",  ,3(3),250.0,-,1,1.3,0.5,2.8,1.2,-,0.7,1.5,6.81,"64Fabrício DanielCoritiba, 25, AM(CR),FW",  ,3(3),250.0,1,0.5,11.2,70.1,0.2,0.2,0.2,6.81,"64Fabrício DanielCoritiba, 25, AM(CR),FW",  ,3(3),250.0,-,1,-,-,1.3,70.1,0.3,-,6.81
"CléberCeara, 25, FW","65CléberCeara, 25, FW",  ,5(4),410.0,0.8,0.1,1.6,-,0.6,0.1,-,-,6.81,"65CléberCeara, 25, FW",  ,5(4),410.0,2,-,1.4,0.4,0.8,0.4,0.3,-,0.8,6.81,"65CléberCeara, 25, FW",  ,5(4),410.0,-,0.4,12.9,69.0,-,-,-,6.81,"65CléberCeara, 25, FW",  ,5(4),410.0,2,-,2,-,1.4,69.0,3,-,6.81
"KanuBotafogo RJ, 25, D(C)","66KanuBotafogo RJ, 25, D(C)",  ,8,666.0,1.1,1.4,0.6,0.9,4.3,0.4,0.5,-,6.8,"66KanuBotafogo RJ, 25, D(C)",  ,8,666.0,-,-,0.5,0.1,0.3,0.5,-,0.4,-,6.8,"66KanuBotafogo RJ, 25, D(C)",  ,8,666.0,-,0.1,48.4,86.8,-,2.3,-,6.8,"66KanuBotafogo RJ, 25, D(C)",  ,8,666.0,-,-,-,-,0.5,86.8,2.9,1,6.8
"Léo OrtizRed Bull Bragantino, 26, D(C)","67Léo OrtizRed Bull Bragantino, 26, D(C)",  ,6,540.0,0.7,0.7,0.5,0.8,4.2,0.7,1.5,-,6.79,"67Léo OrtizRed Bull Bragantino, 26, D(C)",  ,6,540.0,-,-,0.3,0.2,0.5,0.7,-,-,0.5,6.79,"67Léo OrtizRed Bull Bragantino, 26, D(C)",  ,6,540.0,-,0.2,60.2,88.4,0.2,9.3,-,6.79,"67Léo OrtizRed Bull Bragantino, 26, D(C)",  ,6,540.0,-,-,-,-,0.3,88.4,1.5,-,6.79
"MarianoAtletico MG, 36, D(R),M(R)","68MarianoAtletico MG, 36, D(R),M(R)",  ,7(1),642.0,2.9,0.9,1,-,0.8,0.8,0.1,-,6.79,"68MarianoAtletico MG, 36, D(R),M(R)",  ,7(1),642.0,-,-,-,1.4,0.4,0.6,-,0.1,0.9,6.79,"68MarianoAtletico MG, 36, D(R),M(R)",  ,7(1),642.0,-,1.4,38.4,84.0,1.3,3.9,-,6.79,"68MarianoAtletico MG, 36, D(R),M(R)",  ,7(1),642.0,-,-,3,-,-,84.0,0.3,-,6.79
"Richard CândidoCeara, 28, DMC","69Richard CândidoCeara, 28, DMC",  ,9,698.0,1.1,0.7,2.3,-,2,1.7,0.4,-,6.78,"69Richard CândidoCeara, 28, DMC",  ,9,698.0,-,1,1.1,0.8,1.1,1.7,0.2,1,1.3,6.78,"69Richard CândidoCeara, 28, DMC",  ,9,698.0,1,0.8,42.0,87.3,0.1,3.8,-,6.78,"69Richard CândidoCeara, 28, DMC",  ,9,698.0,-,1,4,1,1.1,87.3,2.3,-,6.78
"GilCorinthians, 35, D(C)","70GilCorinthians, 35, D(C)",  ,7,630.0,1.1,1.1,0.4,0.9,3.4,0.7,0.7,-,6.78,"70GilCorinthians, 35, D(C)",  ,7,630.0,-,-,0.7,0.1,-,0.3,0.1,-,0.1,6.78,"70GilCorinthians, 35, D(C)",  ,7,630.0,-,0.1,52.7,84.6,-,3.1,-,6.78,"70GilCorinthians, 35, D(C)",  ,7,630.0,-,-,-,-,0.7,84.6,3,-,6.78
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joaquín PiquerezPalmeiras, 23, D(L)","71Joaquín PiquerezPalmeiras, 23, D(L)",  ,7,568.0,1.9,2.4,1.3,-,1.6,0.9,0.3,-,6.77,"71Joaquín PiquerezPalmeiras, 23, D(L)",  ,7,568.0,-,-,0.7,0.4,0.4,1.3,-,0.6,0.9,6.77,"71Joaquín PiquerezPalmeiras, 23, D(L)",  ,7,568.0,-,0.4,39.3,77.5,-,1.6,-,6.77,"71Joaquín PiquerezPalmeiras, 23, D(L)",  ,7,568.0,-,-,2,-,0.7,77.5,0.4,-,6.77
"AderlanRed Bull Bragantino, 31, D(R),M(R)","72AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,9,759.0,2.8,1.8,2.8,0.1,1.1,1.7,0.6,-,6.77,"72AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,9,759.0,-,-,0.2,1.4,0.4,0.4,-,0.4,1.4,6.77,"72AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,9,759.0,-,1.4,35.2,79.5,1.1,2.1,-,6.77,"72AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,9,759.0,-,-,3,-,0.2,79.5,1,-,6.77
"Zé WelisonFortaleza, 27, D(R),DMC","73Zé WelisonFortaleza, 27, D(R),DMC",  ,5,450.0,1.8,1.4,2.6,-,0.6,0.8,0.4,-,6.76,"73Zé WelisonFortaleza, 27, D(R),DMC",  ,5,450.0,-,-,1,0.8,0.6,0.6,-,1,0.6,6.76,"73Zé WelisonFortaleza, 27, D(R),DMC",  ,5,450.0,-,0.8,46.6,84.1,0.2,4.6,-,6.76,"73Zé WelisonFortaleza, 27, D(R),DMC",  ,5,450.0,-,-,2,-,1,84.1,2.4,-,6.76
"KhellvenAthletico Paranaense, 21, D(R)","74KhellvenAthletico Paranaense, 21, D(R)",  ,6(2),584.0,1.6,1.5,0.5,-,1.8,1.1,0.3,-,6.76,"74KhellvenAthletico Paranaense, 21, D(R)",  ,6(2),584.0,1,1,0.8,0.8,0.8,0.4,-,0.3,1.8,6.76,"74KhellvenAthletico Paranaense, 21, D(R)",  ,6(2),584.0,1,0.8,21.3,68.8,0.5,0.4,-,6.76,"74KhellvenAthletico Paranaense, 21, D(R)",  ,6(2),584.0,1,1,-,-,0.8,68.8,0.4,-,6.76
"CésarJuventude, 27, GK","75CésarJuventude, 27, GK",  ,10,900.0,-,-,-,-,2.3,-,-,-,6.76,"75CésarJuventude, 27, GK",  ,10,900.0,-,-,-,-,-,0.1,-,0.1,0.1,6.76,"75CésarJuventude, 27, GK",  ,10,900.0,-,-,27.7,70.0,-,4.6,-,6.76,"75CésarJuventude, 27, GK",  ,10,900.0,-,-,1,-,-,70.0,0.3,1,6.76
"DaniloPalmeiras, 21, DMC","76DaniloPalmeiras, 21, DMC",  ,9,794.0,2,0.9,0.9,-,1,1.4,0.4,-,6.76,"76DaniloPalmeiras, 21, DMC",  ,9,794.0,-,-,1.2,0.8,0.7,0.7,-,1.1,0.9,6.76,"76DaniloPalmeiras, 21, DMC",  ,9,794.0,-,0.8,45.8,82.0,0.3,3,-,6.76,"76DaniloPalmeiras, 21, DMC",  ,9,794.0,-,-,2,-,1.2,82.0,0.3,-,6.76
"Vinícius LopesBotafogo RJ, 23, AM(LR),FW","77Vinícius LopesBotafogo RJ, 23, AM(LR),FW",  ,4(3),406.0,1.6,0.9,0.9,-,0.4,1.1,0.1,-,6.76,"77Vinícius LopesBotafogo RJ, 23, AM(LR),FW",  ,4(3),406.0,2,-,0.9,0.3,1.3,1.7,0.4,1.4,2,6.76,"77Vinícius LopesBotafogo RJ, 23, AM(LR),FW",  ,4(3),406.0,-,0.3,9.1,76.6,-,-,-,6.76,"77Vinícius LopesBotafogo RJ, 23, AM(LR),FW",  ,4(3),406.0,2,-,2,-,0.9,76.6,0.9,1,6.76
"Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)","78Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,8(2),685.0,1.9,0.8,1,-,0.9,0.8,0.3,-,6.75,"78Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,8(2),685.0,1,1,1.3,0.9,0.9,1.7,-,0.6,2,6.75,"78Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,8(2),685.0,1,0.9,31.0,85.8,-,0.9,-,6.75,"78Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,8(2),685.0,1,1,-,-,1.3,85.8,1.9,-,6.75
"NathanFluminense, 26, M(CL)","79NathanFluminense, 26, M(CL)",  ,2(4),210.0,0.5,0.3,0.3,-,0.3,0.3,0.2,-,6.75,"79NathanFluminense, 26, M(CL)",  ,2(4),210.0,-,1,1.8,0.8,1.2,0.5,-,0.2,1.3,6.75,"79NathanFluminense, 26, M(CL)",  ,2(4),210.0,1,0.8,15.3,85.9,1,0.5,0.2,6.75,"79NathanFluminense, 26, M(CL)",  ,2(4),210.0,-,1,-,-,1.8,85.9,0.7,-,6.75
"João PauloSantos FC, 27, GK","80João PauloSantos FC, 27, GK",  ,10,900.0,-,-,-,-,1.1,-,-,-,6.75,"80João PauloSantos FC, 27, GK",  ,10,900.0,-,-,-,-,-,0.3,-,-,-,6.75,"80João PauloSantos FC, 27, GK",  ,10,900.0,-,-,22.3,69.1,-,3.9,-,6.75,"80João PauloSantos FC, 27, GK",  ,10,900.0,-,-,2,-,-,69.1,0.3,-,6.75
"Jonathan CalleriSao Paulo, 28, FW","81Jonathan CalleriSao Paulo, 28, FW",  ,9(1),847.0,0.6,0.1,1.6,-,1.5,0.3,-,-,6.74,"81Jonathan CalleriSao Paulo, 28, FW",  ,9(1),847.0,3,-,2.5,0.6,0.8,1.9,0.6,1,3.2,6.74,"81Jonathan CalleriSao Paulo, 28, FW",  ,9(1),847.0,-,0.6,15.7,64.3,-,0.7,-,6.74,"81Jonathan CalleriSao Paulo, 28, FW",  ,9(1),847.0,3,-,2,-,2.5,64.3,3.5,-,6.74
"Ignacio FernándezAtletico MG, 32, M(CLR)","82Ignacio FernándezAtletico MG, 32, M(CLR)",  ,8(2),659.0,1.7,0.4,0.4,0.1,0.4,1.8,-,-,6.74,"82Ignacio FernándezAtletico MG, 32, M(CLR)",  ,8(2),659.0,1,2,1.2,1.9,0.6,1.5,0.1,1.3,2.3,6.74,"82Ignacio FernándezAtletico MG, 32, M(CLR)",  ,8(2),659.0,2,1.9,35.3,85.0,1.6,0.6,-,6.74,"82Ignacio FernándezAtletico MG, 32, M(CLR)",  ,8(2),659.0,1,2,2,-,1.2,85.0,0.2,1,6.74
"Luiz OtávioCeara, 33, D(C)","83Luiz OtávioCeara, 33, D(C)",  ,7(1),524.0,1.1,1.5,0.4,0.4,2.3,0.8,0.4,-,6.74,"83Luiz OtávioCeara, 33, D(C)",  ,7(1),524.0,1,-,0.5,0.3,0.3,0.3,-,0.3,0.8,6.74,"83Luiz OtávioCeara, 33, D(C)",  ,7(1),524.0,-,0.3,30.9,82.6,-,1,-,6.74,"83Luiz OtávioCeara, 33, D(C)",  ,7(1),524.0,1,-,3,-,0.5,82.6,2.8,-,6.74
"Júnior AlonsoAtletico MG, 29, D(CL)","84Júnior AlonsoAtletico MG, 29, D(CL)",  ,10,900.0,1,0.6,0.6,0.4,2.3,0.7,0.9,-,6.74,"84Júnior AlonsoAtletico MG, 29, D(CL)",  ,10,900.0,-,1,0.1,0.4,0.5,0.2,-,0.2,0.1,6.74,"84Júnior AlonsoAtletico MG, 29, D(CL)",  ,10,900.0,1,0.4,77.0,88.6,0.1,4.8,-,6.74,"84Júnior AlonsoAtletico MG, 29, D(CL)",  ,10,900.0,-,1,1,-,0.1,88.6,1.8,-,6.74
"Raul GustavoCorinthians, 23, D(C)","85Raul GustavoCorinthians, 23, D(C)",  ,7,630.0,1.4,2,1,0.6,4.3,0.7,0.6,-,6.74,"85Raul GustavoCorinthians, 23, D(C)",  ,7,630.0,1,-,1,0.3,0.1,1,-,0.3,0.7,6.74,"85Raul GustavoCorinthians, 23, D(C)",  ,7,630.0,-,0.3,58.7,85.4,0.1,3.7,-,6.74,"85Raul GustavoCorinthians, 23, D(C)",  ,7,630.0,1,-,2,-,1,85.4,1.7,-,6.74
"JailsonAmerica MG, 41, GK","86JailsonAmerica MG, 41, GK",  ,6,540.0,-,-,-,-,1,-,-,-,6.73,"86JailsonAmerica MG, 41, GK",  ,6,540.0,-,-,-,-,-,-,-,-,-,6.73,"86JailsonAmerica MG, 41, GK",  ,6,540.0,-,-,22.3,59.7,-,6.3,-,6.73,"86JailsonAmerica MG, 41, GK",  ,6,540.0,-,-,-,-,-,59.7,-,-,6.73
"MarlonAmerica MG, 28, D(L)","87MarlonAmerica MG, 28, D(L)",  ,8,600.0,2.9,1.1,1.6,0.1,1.6,0.9,0.5,-,6.73,"87MarlonAmerica MG, 28, D(L)",  ,8,600.0,-,-,0.8,1.1,0.3,1.3,-,0.8,1.5,6.73,"87MarlonAmerica MG, 28, D(L)",  ,8,600.0,-,1.1,28.0,73.7,0.6,1.6,-,6.73,"87MarlonAmerica MG, 28, D(L)",  ,8,600.0,-,-,1,1,0.8,73.7,1.1,-,6.73
"BentoAthletico Paranaense, 23, GK","88BentoAthletico Paranaense, 23, GK",  ,11,990.0,0.1,-,-,-,1.1,-,-,-,6.73,"88BentoAthletico Paranaense, 23, GK",  ,11,990.0,-,-,-,0.1,-,-,-,-,-,6.73,"88BentoAthletico Paranaense, 23, GK",  ,11,990.0,-,0.1,22.4,48.4,-,2.9,-,6.73,"88BentoAthletico Paranaense, 23, GK",  ,11,990.0,-,-,1,-,-,48.4,0.2,1,6.73
"PabloFlamengo, 31, D(C)","89PabloFlamengo, 31, D(C)",  ,6(1),551.0,1.6,1.7,1.7,0.1,3.6,0.1,0.9,-,6.73,"89PabloFlamengo, 31, D(C)",  ,6(1),551.0,-,-,0.7,0.1,-,0.1,-,-,0.3,6.73,"89PabloFlamengo, 31, D(C)",  ,6(1),551.0,-,0.1,42.1,85.4,-,3.6,-,6.73,"89PabloFlamengo, 31, D(C)",  ,6(1),551.0,-,-,2,-,0.7,85.4,2.1,-,6.73
"Du QueirozCorinthians, 22, DMC","90Du QueirozCorinthians, 22, DMC",  ,9(1),762.0,1.5,1.3,1.3,-,0.6,1.4,0.4,-,6.72,"90Du QueirozCorinthians, 22, DMC",  ,9(1),762.0,-,1,0.9,0.6,1.4,0.3,-,0.6,1.7,6.72,"90Du QueirozCorinthians, 22, DMC",  ,9(1),762.0,1,0.6,40.6,88.9,-,2.2,-,6.72,"90Du QueirozCorinthians, 22, DMC",  ,9(1),762.0,-,1,1,-,0.9,88.9,0.4,-,6.72
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JairAtletico MG, 27, DMC","91JairAtletico MG, 27, DMC",  ,8(1),565.0,1.3,0.9,1.2,-,0.1,1.1,0.1,-,6.72,"91JairAtletico MG, 27, DMC",  ,8(1),565.0,1,2,0.4,1.1,0.6,1.3,-,0.7,1,6.72,"91JairAtletico MG, 27, DMC",  ,8(1),565.0,2,1.1,34.2,89.3,0.1,1.8,-,6.72,"91JairAtletico MG, 27, DMC",  ,8(1),565.0,1,2,1,-,0.4,89.3,0.7,-,6.72
"HulkAtletico MG, 36, AM(CLR),FW","92HulkAtletico MG, 36, AM(CLR),FW",  ,8,695.0,-,0.1,2.1,-,0.6,0.8,-,-,6.72,"92HulkAtletico MG, 36, AM(CLR),FW",  ,8,695.0,3,-,3.4,1,2.3,2.3,0.8,3.1,3,6.72,"92HulkAtletico MG, 36, AM(CLR),FW",  ,8,695.0,-,1,21.8,80.5,-,0.8,-,6.72,"92HulkAtletico MG, 36, AM(CLR),FW",  ,8,695.0,3,-,1,-,3.4,80.5,0.4,1,6.72
"KevinAvai FC, 24, D(R),M(R)","93KevinAvai FC, 24, D(R),M(R)",  ,10,889.0,1.8,1,0.7,0.2,2.3,1.1,0.3,-,6.71,"93KevinAvai FC, 24, D(R),M(R)",  ,10,889.0,1,1,0.7,1,0.8,0.1,0.1,0.2,0.7,6.71,"93KevinAvai FC, 24, D(R),M(R)",  ,10,889.0,1,1,47.4,81.0,0.7,4.1,-,6.71,"93KevinAvai FC, 24, D(R),M(R)",  ,10,889.0,1,1,1,-,0.7,81.0,1.2,1,6.71
"Guillermo De los SantosCoritiba, 31, D(C)","94Guillermo De los SantosCoritiba, 31, D(C)",  ,5,418.0,1.6,1.2,0.4,0.4,3.8,0.2,0.8,-,6.71,"94Guillermo De los SantosCoritiba, 31, D(C)",  ,5,418.0,-,1,1,0.2,0.2,0.8,-,-,0.4,6.71,"94Guillermo De los SantosCoritiba, 31, D(C)",  ,5,418.0,1,0.2,40.0,80.5,-,5.8,-,6.71,"94Guillermo De los SantosCoritiba, 31, D(C)",  ,5,418.0,-,1,1,-,1,80.5,2.6,-,6.71
"ReynaldoGoias, 25, D(C)","95ReynaldoGoias, 25, D(C)",  ,8,720.0,1.1,1.3,1.1,0.8,5.3,0.6,1.1,-,6.71,"95ReynaldoGoias, 25, D(C)",  ,8,720.0,-,-,0.4,0.3,-,0.3,-,0.1,0.3,6.71,"95ReynaldoGoias, 25, D(C)",  ,8,720.0,-,0.3,27.1,86.2,-,1.4,-,6.71,"95ReynaldoGoias, 25, D(C)",  ,8,720.0,-,-,-,-,0.4,86.2,2,-,6.71
