,J,J,J,J,J,J,J,J,J,J,J,J,J,o,o,o,o,o,o,o,o,o,o,o,o,o,g,g,g,g,g,g,g,g,g,g,g,g,g,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,o,o,o,o,o,o,o,o,o,o,o,o,r,r,r,r,r,r,r,r,r,r,r,r
,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador
88,  ,10,900.0,-,-,-,-,1.1,-,-,-,6.75,"João PauloSantos FC, 27, GK",  ,16(1),1387.0,2.7,0.6,1.6,-,1.1,1.2,0.1,-,6.81,"PepêCuiaba, 24, M(C)",  ,4(3),327.0,1,2,0.9,1,0.9,0.3,-,0.7,0.7,6.92,"Gabriel VeronPalmeiras, 19, AM(LR)",  ,10,900.0,-,-,-,-,-,0.3,-,-,-,6.75,"João PauloSantos FC, 27, GK",  ,16(1),1387.0,-,-,1.1,1.2,1.2,1.8,-,1.4,1.7,6.81,"PepêCuiaba, 24, M(C)",  ,4(3),327.0,2,1,10.0,82.9,-,0.4,-,6.92,"Gabriel VeronPalmeiras, 19, AM(LR)",  ,10,900.0,-,-,22.3,69.1,-,3.9,-,6.75,"João PauloSantos FC, 27, GK"
89,  ,9(1),847.0,0.6,0.1,1.6,-,1.5,0.3,-,-,6.74,"Jonathan CalleriSao Paulo, 28, FW",  ,12(2),1067.0,2.6,0.9,0.9,0.1,0.9,1.1,0.4,-,6.81,"Lucas PiresSantos FC, 21, D(L)",  ,5(3),464.0,-,-,1,0.9,2.5,2.9,0.3,0.9,1.4,6.92,"WillianCorinthians, 34, AM(CLR)",  ,9(1),847.0,3,-,2.5,0.6,0.8,1.9,0.6,1,3.2,6.74,"Jonathan CalleriSao Paulo, 28, FW",  ,12(2),1067.0,-,-,0.8,1.8,1.1,0.5,0.1,1,1.3,6.81,"Lucas PiresSantos FC, 21, D(L)",  ,5(3),464.0,-,0.9,25.3,84.7,0.3,1.3,-,6.92,"WillianCorinthians, 34, AM(CLR)",  ,9(1),847.0,-,0.6,15.7,64.3,-,0.7,-,6.74,"Jonathan CalleriSao Paulo, 28, FW"
90,  ,8(2),659.0,1.7,0.4,0.4,0.1,0.4,1.8,-,-,6.74,"Ignacio FernándezAtletico MG, 32, M(CLR)",  ,11(2),930.0,1.1,0.8,0.7,0.1,2.2,0.8,0.1,-,6.81,"Fábio SantosCorinthians, 36, D(L)",  ,7(1),630.0,-,-,0.9,1.3,0.4,0.8,-,0.5,0.6,6.92,"GugaAtletico MG, 23, D(R),M(R)",  ,8(2),659.0,1,2,1.2,1.9,0.6,1.5,0.1,1.3,2.3,6.74,"Ignacio FernándezAtletico MG, 32, M(CLR)",  ,11(2),930.0,3,-,0.3,0.5,0.2,0.5,-,0.2,0.6,6.81,"Fábio SantosCorinthians, 36, D(L)",  ,7(1),630.0,-,1.3,40.4,86.7,1,1,-,6.92,"GugaAtletico MG, 23, D(R),M(R)",  ,8(2),659.0,2,1.9,35.3,85.0,1.6,0.6,-,6.74,"Ignacio FernándezAtletico MG, 32, M(CLR)"
91,  ,7(1),524.0,1.1,1.5,0.4,0.4,2.3,0.8,0.4,-,6.74,"Luiz OtávioCeara, 33, D(C)",  ,11(1),981.0,2.7,1.2,0.8,0.1,0.9,0.8,0.2,-,6.8,"GugaAtletico MG, 23, D(R),M(R)",  ,10,761.0,-,1,0.5,0.7,0.8,0.7,-,0.2,0.4,6.92,"Rafael RamosCorinthians, 27, D(R)",  ,7(1),524.0,1,-,0.5,0.3,0.3,0.3,-,0.3,0.8,6.74,"Luiz OtávioCeara, 33, D(C)",  ,11(1),981.0,-,-,0.9,0.8,0.6,1.1,-,0.4,0.8,6.8,"GugaAtletico MG, 23, D(R),M(R)",  ,10,761.0,1,0.7,45.4,79.1,0.2,1.8,-,6.92,"Rafael RamosCorinthians, 27, D(R)",  ,7(1),524.0,-,0.3,30.9,82.6,-,1,-,6.74,"Luiz OtávioCeara, 33, D(C)"
92,  ,10,900.0,1,0.6,0.6,0.4,2.3,0.7,0.9,-,6.74,"Júnior AlonsoAtletico MG, 29, D(CL)",  ,12,1080.0,-,-,-,-,1,-,-,-,6.8,"JailsonAmerica MG, 41, GK",  ,11,990.0,-,-,-,-,0.1,0.3,-,-,-,6.92,"DanielInternacional, 28, GK",  ,10,900.0,-,1,0.1,0.4,0.5,0.2,-,0.2,0.1,6.74,"Júnior AlonsoAtletico MG, 29, D(CL)",  ,12,1080.0,-,-,-,-,-,-,-,0.1,-,6.8,"JailsonAmerica MG, 41, GK",  ,11,990.0,-,-,19.6,66.7,-,4.7,-,6.92,"DanielInternacional, 28, GK",  ,10,900.0,1,0.4,77.0,88.6,0.1,4.8,-,6.74,"Júnior AlonsoAtletico MG, 29, D(CL)"
93,  ,7,630.0,1.4,2,1,0.6,4.3,0.7,0.6,-,6.74,"Raul GustavoCorinthians, 23, D(C)",  ,7(5),569.0,1.2,0.5,0.3,-,0.2,0.2,-,-,6.79,"Gabriel VeronPalmeiras, 19, AM(LR)",  ,8,709.0,-,-,0.3,0.1,-,1.1,-,-,0.5,6.91,"Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,7,630.0,1,-,1,0.3,0.1,1,-,0.3,0.7,6.74,"Raul GustavoCorinthians, 23, D(C)",  ,7(5),569.0,1,3,0.9,0.9,0.9,0.5,-,0.8,0.8,6.79,"Gabriel VeronPalmeiras, 19, AM(LR)",  ,8,709.0,-,0.1,43.5,79.9,-,6.1,-,6.91,"Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,7,630.0,-,0.3,58.7,85.4,0.1,3.7,-,6.74,"Raul GustavoCorinthians, 23, D(C)"
94,  ,6,540.0,-,-,-,-,1,-,-,-,6.73,"JailsonAmerica MG, 41, GK",  ,8(9),912.0,3.2,0.8,1.2,0.1,1.1,0.8,0.1,-,6.79,"RubensAtletico MG, 21, D(L)",  ,6(1),567.0,-,-,1.9,1.7,1.1,0.3,-,-,1,6.91,"Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,6,540.0,-,-,-,-,-,-,-,-,-,6.73,"JailsonAmerica MG, 41, GK",  ,8(9),912.0,1,-,1.1,0.5,1.1,0.7,-,0.6,1.3,6.79,"RubensAtletico MG, 21, D(L)",  ,6(1),567.0,-,1.7,62.0,88.0,1.4,3.4,-,6.91,"Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,6,540.0,-,-,22.3,59.7,-,6.3,-,6.73,"JailsonAmerica MG, 41, GK"
95,  ,8,600.0,2.9,1.1,1.6,0.1,1.6,0.9,0.5,-,6.73,"MarlonAmerica MG, 28, D(L)",  ,17,1419.0,1.6,0.8,0.6,0.4,1.5,0.6,0.2,-,6.79,"Fabricio BustosInternacional, 26, D(R)",  ,4(2),298.0,1,2,1.7,1,1.2,1.3,0.3,0.7,0.3,6.91,"Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,8,600.0,-,-,0.8,1.1,0.3,1.3,-,0.8,1.5,6.73,"MarlonAmerica MG, 28, D(L)",  ,17,1419.0,2,2,0.6,1.2,0.4,0.4,0.1,0.5,0.6,6.79,"Fabricio BustosInternacional, 26, D(R)",  ,4(2),298.0,2,1,23.7,91.5,0.5,2,0.2,6.91,"Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,8,600.0,-,1.1,28.0,73.7,0.6,1.6,-,6.73,"MarlonAmerica MG, 28, D(L)"
96,  ,11,990.0,0.1,-,-,-,1.1,-,-,-,6.73,"BentoAthletico Paranaense, 23, GK",,,,,,,,,,,,,Erro:502,  ,10(1),788.0,2,1,1.4,0.9,1,1.7,-,1.8,1.2,6.91,"Zé RafaelPalmeiras, 29, M(CLR)",  ,11,990.0,-,-,-,0.1,-,-,-,-,-,6.73,"BentoAthletico Paranaense, 23, GK",,,,,,,,,,,,,,Erro:502,  ,10(1),788.0,1,0.9,30.6,87.2,0.2,2,0.1,6.91,"Zé RafaelPalmeiras, 29, M(CLR)",  ,11,990.0,-,0.1,22.4,48.4,-,2.9,-,6.73,"BentoAthletico Paranaense, 23, GK"
97,  ,6(1),551.0,1.6,1.7,1.7,0.1,3.6,0.1,0.9,-,6.73,"PabloFlamengo, 31, D(C)",  ,12(1),1047.0,1.2,1.7,1.5,0.3,3.8,0.3,0.5,-,6.79,"PabloFlamengo, 31, D(C)",  ,7(2),602.0,3,1,3.1,1.3,0.7,1,1.1,0.7,1.6,6.91,"Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,6(1),551.0,-,-,0.7,0.1,-,0.1,-,-,0.3,6.73,"PabloFlamengo, 31, D(C)",  ,12(1),1047.0,-,-,0.6,0.2,0.1,0.2,0.1,0.1,0.3,6.79,"PabloFlamengo, 31, D(C)",  ,7(2),602.0,1,1.3,20.0,88.9,0.4,1.2,0.3,6.91,"Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,6(1),551.0,-,0.1,42.1,85.4,-,3.6,-,6.73,"PabloFlamengo, 31, D(C)"
98,  ,9(1),762.0,1.5,1.3,1.3,-,0.6,1.4,0.4,-,6.72,"Du QueirozCorinthians, 22, DMC",  ,12(4),972.0,2.3,0.4,1.1,-,0.5,1.1,0.1,-,6.79,"PatrickSao Paulo, 30, M(CL)",  ,6(3),563.0,1,-,1.3,0.6,1.3,0.7,-,0.8,0.6,6.91,"Zé WelisonFortaleza, 27, D(R),DMC",  ,9(1),762.0,-,1,0.9,0.6,1.4,0.3,-,0.6,1.7,6.72,"Du QueirozCorinthians, 22, DMC",  ,12(4),972.0,4,1,1.1,0.9,0.9,1.3,0.1,1.4,2.2,6.79,"PatrickSao Paulo, 30, M(CL)",  ,6(3),563.0,-,0.6,36.4,86.6,0.3,3.9,-,6.91,"Zé WelisonFortaleza, 27, D(R),DMC",  ,9(1),762.0,1,0.6,40.6,88.9,-,2.2,-,6.72,"Du QueirozCorinthians, 22, DMC"
99,,,,,,,,,,,,,Erro:502,  ,18(1),1562.0,3.4,0.7,2.5,-,1.1,2.9,0.2,-,6.79,"Rodrigo FernándezSantos FC, 26, DMC",  ,5(1),404.0,-,2,1.3,2.5,0.8,0.5,-,1,1.5,6.91,"ReinaldoSao Paulo, 32, D(L),M(L)",,,,,,,,,,,,,,Erro:502,  ,18(1),1562.0,-,-,0.5,0.3,1.1,1.1,-,0.6,0.7,6.79,"Rodrigo FernándezSantos FC, 26, DMC",  ,5(1),404.0,2,2.5,21.8,75.6,2.5,0.8,0.2,6.91,"ReinaldoSao Paulo, 32, D(L),M(L)",,,,,,,,,,,,Erro:502
100,  ,8(1),565.0,1.3,0.9,1.2,-,0.1,1.1,0.1,-,6.72,"JairAtletico MG, 27, DMC",  ,10(4),874.0,1.4,0.9,0.6,0.1,0.5,0.6,0.1,-,6.79,"Renato AugustoCorinthians, 34, M(CLR),FW",  ,9(1),767.0,1,1,1.3,0.9,0.9,0.6,0.1,0.7,0.7,6.9,"DaniloPalmeiras, 21, DMC",  ,8(1),565.0,1,2,0.4,1.1,0.6,1.3,-,0.7,1,6.72,"JairAtletico MG, 27, DMC",  ,10(4),874.0,1,1,1.6,1.3,0.4,0.9,0.1,0.1,1.8,6.79,"Renato AugustoCorinthians, 34, M(CLR),FW",  ,9(1),767.0,1,0.9,32.2,84.2,-,1.8,-,6.9,"DaniloPalmeiras, 21, DMC",  ,8(1),565.0,2,1.1,34.2,89.3,0.1,1.8,-,6.72,"JairAtletico MG, 27, DMC"
101,  ,8,695.0,-,0.1,2.1,-,0.6,0.8,-,-,6.72,"HulkAtletico MG, 36, AM(CLR),FW",  ,12(6),1100.0,1.8,0.9,1.1,-,1.8,1.1,0.7,-,6.79,"ErickAthletico Paranaense, 24, D(R),DMC",  ,4(1),354.0,2,-,1,0.4,-,0.2,-,0.2,0.2,6.9,"Iago MaidanaAmerica MG, 26, D(C)",  ,8,695.0,3,-,3.4,1,2.3,2.3,0.8,3.1,3,6.72,"HulkAtletico MG, 36, AM(CLR),FW",  ,12(6),1100.0,1,-,0.6,0.2,0.6,0.6,-,0.4,0.7,6.79,"ErickAthletico Paranaense, 24, D(R),DMC",  ,4(1),354.0,-,0.4,31.6,74.7,-,2,-,6.9,"Iago MaidanaAmerica MG, 26, D(C)",  ,8,695.0,-,1,21.8,80.5,-,0.8,-,6.72,"HulkAtletico MG, 36, AM(CLR),FW"
102,  ,10,889.0,1.8,1,0.7,0.2,2.3,1.1,0.3,-,6.71,"KevinAvai FC, 24, D(R),M(R)",  ,17,1374.0,0.7,0.8,0.9,0.4,3,0.4,0.8,-,6.79,"ManoelFluminense, 32, D(C)",  ,6(2),478.0,1,2,1.9,1.3,1.9,0.8,0.3,1.4,2.3,6.9,"Tomás CuelloAthletico Paranaense, 22, AM(L)",  ,10,889.0,1,1,0.7,1,0.8,0.1,0.1,0.2,0.7,6.71,"KevinAvai FC, 24, D(R),M(R)",  ,17,1374.0,3,1,0.8,0.2,0.1,0.8,-,0.2,0.6,6.79,"ManoelFluminense, 32, D(C)",  ,6(2),478.0,2,1.3,20.8,75.9,0.4,1.6,0.1,6.9,"Tomás CuelloAthletico Paranaense, 22, AM(L)",  ,10,889.0,1,1,47.4,81.0,0.7,4.1,-,6.71,"KevinAvai FC, 24, D(R),M(R)"
103,  ,5,418.0,1.6,1.2,0.4,0.4,3.8,0.2,0.8,-,6.71,"Guillermo De los SantosCoritiba, 31, D(C)",  ,12(3),949.0,1.1,0.5,1.1,-,-,1.1,0.1,-,6.78,"EveraldoAmerica MG, 28, AM(CLR)",,,,,,,,,,,,,,Erro:502,  ,5,418.0,-,1,1,0.2,0.2,0.8,-,-,0.4,6.71,"Guillermo De los SantosCoritiba, 31, D(C)",  ,12(3),949.0,2,2,1.7,1.3,1.3,2.3,0.2,0.6,1.5,6.78,"EveraldoAmerica MG, 28, AM(CLR)",,,,,,,,,,,,Erro:502,  ,5,418.0,1,0.2,40.0,80.5,-,5.8,-,6.71,"Guillermo De los SantosCoritiba, 31, D(C)"
104,  ,8,720.0,1.1,1.3,1.1,0.8,5.3,0.6,1.1,-,6.71,"ReynaldoGoias, 25, D(C)",  ,15(3),1288.0,0.5,0.2,1.1,-,0.6,0.9,0.1,-,6.78,"RonyPalmeiras, 27, AM(LR),FW",  ,9,781.0,-,1,0.4,1.4,-,0.6,-,0.2,0.6,6.9,"MádsonSantos FC, 30, D(R),M(R)",  ,8,720.0,-,-,0.4,0.3,-,0.3,-,0.1,0.3,6.71,"ReynaldoGoias, 25, D(C)",  ,15(3),1288.0,7,-,2.3,0.7,0.3,1,0.7,0.6,1.7,6.78,"RonyPalmeiras, 27, AM(LR),FW",  ,9,781.0,1,1.4,27.0,82.3,0.7,1.3,-,6.9,"MádsonSantos FC, 30, D(R),M(R)",  ,8,720.0,-,0.3,27.1,86.2,-,1.4,-,6.71,"ReynaldoGoias, 25, D(C)"
105,  ,2(4),236.0,1.2,-,0.8,0.2,1,-,0.2,-,6.71,"José HurtadoRed Bull Bragantino, 20, D(R)",  ,21,1890.0,-,-,-,-,1,-,-,-,6.78,"BentoAthletico Paranaense, 23, GK",  ,9,750.0,-,-,1.7,1.4,1.4,1.8,-,1.1,1.1,6.9,"PepêCuiaba, 24, M(C)",  ,2(4),236.0,-,1,0.3,0.5,1,0.5,0.2,-,0.5,6.71,"José HurtadoRed Bull Bragantino, 20, D(R)",  ,21,1890.0,-,-,-,-,-,-,-,-,-,6.78,"BentoAthletico Paranaense, 23, GK",  ,9,750.0,-,1.4,39.7,88.0,0.6,3.1,0.1,6.9,"PepêCuiaba, 24, M(C)",  ,2(4),236.0,1,0.5,17.2,82.5,0.5,0.2,-,6.71,"José HurtadoRed Bull Bragantino, 20, D(R)"
106,  ,9,810.0,-,0.1,-,-,1.6,0.1,-,-,6.71,"DanielInternacional, 28, GK",  ,14(2),1178.0,2.1,1,1.1,0.3,1.2,0.8,0.1,-,6.78,"Rafael RamosCorinthians, 27, D(R)",  ,5(3),474.0,1,-,0.8,0.3,0.6,0.8,-,0.3,0.8,6.9,"ErickAthletico Paranaense, 24, D(R),DMC",  ,9,810.0,-,-,-,-,-,0.3,-,-,0.1,6.71,"DanielInternacional, 28, GK",  ,14(2),1178.0,-,1,0.4,0.7,0.9,0.7,-,0.3,0.4,6.78,"Rafael RamosCorinthians, 27, D(R)",  ,5(3),474.0,-,0.3,19.8,81.0,0.1,1.1,-,6.9,"ErickAthletico Paranaense, 24, D(R),DMC",  ,9,810.0,-,-,23.0,56.0,-,5.2,-,6.71,"DanielInternacional, 28, GK"
107,  ,7(1),637.0,3,0.5,2,-,1,1.3,0.1,-,6.71,"PepêCuiaba, 24, M(C)",  ,15,1349.0,1.1,0.3,0.5,0.6,4.9,0.4,1,-,6.77,"VitãoInternacional, 22, D(C)",  ,2(4),255.0,2,1,1,0.7,1,0.5,-,0.2,1,6.9,"Gustavo MosquitoCorinthians, 24, AM(LR)",  ,7(1),637.0,-,-,0.5,1,1,1.9,-,1.6,2.4,6.71,"PepêCuiaba, 24, M(C)",  ,15,1349.0,1,-,0.4,-,-,0.2,-,0.1,0.1,6.77,"VitãoInternacional, 22, D(C)",  ,2(4),255.0,1,0.7,10.5,81.0,0.5,-,-,6.9,"Gustavo MosquitoCorinthians, 24, AM(LR)",  ,7(1),637.0,-,1,38.3,85.6,0.5,3.3,0.1,6.71,"PepêCuiaba, 24, M(C)"
108,  ,6(1),528.0,0.9,0.6,1.1,-,1.6,0.7,0.4,-,6.7,"Rodrigo LindosoCeara, 33, DMC",  ,17,1411.0,1.3,1.1,0.8,0.2,2.4,0.5,0.6,-,6.77,"MádsonSantos FC, 30, D(R),M(R)",  ,9(1),820.0,-,-,0.5,0.4,1.1,1,-,0.8,0.9,6.9,"Rodrigo FernándezSantos FC, 26, DMC",  ,6(1),528.0,-,1,0.6,1,0.3,1.6,-,0.3,0.9,6.7,"Rodrigo LindosoCeara, 33, DMC",  ,17,1411.0,1,1,0.3,1,-,0.8,0.1,0.1,0.5,6.77,"MádsonSantos FC, 30, D(R),M(R)",  ,9(1),820.0,-,0.4,41.6,85.8,0.2,3.3,-,6.9,"Rodrigo FernándezSantos FC, 26, DMC",  ,6(1),528.0,1,1,44.9,86.6,-,4.7,-,6.7,"Rodrigo LindosoCeara, 33, DMC"
109,  ,6(1),568.0,2.1,2.1,1.7,0.1,1,1,0.3,-,6.7,"Hugo MouraAthletico Paranaense, 24, DMC",  ,11(8),1094.0,1.1,0.3,0.4,0.2,0.7,0.5,0.1,-,6.77,"Caio PaulistaFluminense, 24, D(L),M(LR)",  ,4(1),312.0,-,-,0.4,0.4,0.6,1,-,0.6,0.6,6.9,"Filipe LuísFlamengo, 37, D(L)",  ,6(1),568.0,-,-,1.6,0.4,0.3,1,0.1,0.4,1.3,6.7,"Hugo MouraAthletico Paranaense, 24, DMC",  ,11(8),1094.0,-,3,1,0.9,2.1,1,-,1.3,1.5,6.77,"Caio PaulistaFluminense, 24, D(L),M(LR)",  ,4(1),312.0,-,0.4,43.4,94.0,0.2,3.2,-,6.9,"Filipe LuísFlamengo, 37, D(L)",  ,6(1),568.0,-,0.4,38.6,81.1,-,3,-,6.7,"Hugo MouraAthletico Paranaense, 24, DMC"
110,  ,5(1),403.0,0.8,0.2,0.7,-,0.2,0.7,-,-,6.7,"Alan PatrickInternacional, 31, M(CLR)",  ,14(3),1091.0,0.5,0.3,0.8,-,-,0.6,-,-,6.77,"David TeransAthletico Paranaense, 28, AM(CL)",  ,10,900.0,-,1,0.5,0.2,0.2,0.4,0.1,-,0.1,6.88,"Eduardo BauermannSantos FC, 26, D(C)",  ,5(1),403.0,1,-,1.2,1.8,1.5,2.2,-,2.3,1.3,6.7,"Alan PatrickInternacional, 31, M(CLR)",  ,14(3),1091.0,7,2,2.6,1.4,1.1,0.5,0.2,0.8,2.2,6.77,"David TeransAthletico Paranaense, 28, AM(CL)",  ,10,900.0,1,0.2,38.9,88.4,-,2.1,-,6.88,"Eduardo BauermannSantos FC, 26, D(C)",  ,5(1),403.0,-,1.8,31.8,88.5,0.5,1.2,-,6.7,"Alan PatrickInternacional, 31, M(CLR)"
111,  ,8(1),725.0,1.2,0.6,0.8,0.2,3.2,0.8,1,-,6.69,"Matheus FelipeAthletico Paranaense, 23, D(C)",  ,19(3),1541.0,0.3,0.2,0.3,-,0.5,1,0.1,-,6.77,"MoisésFortaleza, 25, AM(L),FW",  ,8(1),687.0,3,-,2.2,0.8,0.2,1.1,0.7,0.2,2,6.88,"RonyPalmeiras, 27, AM(LR),FW",  ,8(1),725.0,1,-,0.3,0.6,-,0.3,-,-,0.6,6.69,"Matheus FelipeAthletico Paranaense, 23, D(C)",  ,19(3),1541.0,4,2,1.9,1.1,2.1,0.6,0.2,1.4,1.9,6.77,"MoisésFortaleza, 25, AM(L),FW",  ,8(1),687.0,-,0.8,9.1,72.0,-,0.1,-,6.88,"RonyPalmeiras, 27, AM(LR),FW",  ,8(1),725.0,-,0.6,30.6,82.2,0.1,2.4,-,6.69,"Matheus FelipeAthletico Paranaense, 23, D(C)"
112,  ,7(3),626.0,1.9,0.9,1.4,-,2.2,1.3,0.6,-,6.69,"ErickAthletico Paranaense, 24, D(R),DMC",  ,12(1),1103.0,1.2,1,1.8,-,3.3,0.1,0.7,-,6.76,"Nathan SilvaAtletico MG, 25, D(C),DMC",  ,5,450.0,-,-,-,-,-,-,-,-,-,6.88,"SantosFlamengo, 32, GK",  ,7(3),626.0,-,-,0.4,0.1,0.5,0.4,-,0.6,0.7,6.69,"ErickAthletico Paranaense, 24, D(R),DMC",  ,12(1),1103.0,-,-,0.6,0.2,-,0.2,-,0.1,0.2,6.76,"Nathan SilvaAtletico MG, 25, D(C),DMC",  ,5,450.0,-,-,21.6,76.9,-,3.8,-,6.88,"SantosFlamengo, 32, GK",  ,7(3),626.0,-,0.1,21.8,87.2,-,1.2,-,6.69,"ErickAthletico Paranaense, 24, D(R),DMC"
113,  ,8(2),703.0,2.7,1.5,2.2,-,2.1,1.4,0.3,-,6.69,"GabrielInternacional, 30, DMC",  ,12(8),1254.0,0.7,0.5,0.6,-,0.7,0.5,0.1,-,6.75,"Lucas BragaSantos FC, 25, M(LR)",  ,3(2),308.0,1,-,2.6,1.2,2.8,1.2,0.2,1.2,1.6,6.88,"JeffinhoBotafogo RJ, 22, Midfielder",  ,8(2),703.0,-,-,0.2,0.2,0.2,0.8,-,0.5,0.6,6.69,"GabrielInternacional, 30, DMC",  ,12(8),1254.0,1,-,1.1,0.6,2.1,2.1,0.2,1,1.2,6.75,"Lucas BragaSantos FC, 25, M(LR)",  ,3(2),308.0,-,1.2,21.8,74.3,-,0.2,-,6.88,"JeffinhoBotafogo RJ, 22, Midfielder",  ,8(2),703.0,-,0.2,37.1,88.9,0.1,1.6,-,6.69,"GabrielInternacional, 30, DMC"
114,  ,8(1),743.0,1.4,1,1.9,-,3.1,-,0.6,-,6.69,"Nathan SilvaAtletico MG, 25, D(C),DMC",  ,14(3),1276.0,0.6,-,1.1,-,0.5,0.4,0.1,-,6.75,"Léo GamalhoCoritiba, 36, FW",  ,8,596.0,-,1,0.9,1.6,1.1,2,-,0.8,0.9,6.88,"GansoFluminense, 32, AM(C)",  ,8(1),743.0,-,-,0.4,0.2,-,0.2,-,0.1,0.3,6.69,"Nathan SilvaAtletico MG, 25, D(C),DMC",  ,14(3),1276.0,7,-,1.7,0.7,0.1,1.5,0.4,0.9,1,6.75,"Léo GamalhoCoritiba, 36, FW",  ,8,596.0,1,1.6,51.1,89.0,0.4,1.3,0.4,6.88,"GansoFluminense, 32, AM(C)",  ,8(1),743.0,-,0.2,51.9,92.1,-,2.4,-,6.69,"Nathan SilvaAtletico MG, 25, D(C),DMC"
115,  ,4(3),412.0,2,0.4,1.4,0.1,1,0.4,-,-,6.69,"Pedro HenriqueInternacional, 32, AM(LR),FW",  ,9(2),651.0,0.6,0.2,0.6,-,0.3,0.7,-,-,6.75,"Alan PatrickInternacional, 31, M(CLR)",  ,9,705.0,4,-,2.3,1,0.8,1.6,0.7,0.7,2.3,6.87,"Róger GuedesCorinthians, 25, AM(CLR),FW",  ,4(3),412.0,-,-,1.9,1.1,0.9,1.7,0.4,0.9,1.4,6.69,"Pedro HenriqueInternacional, 32, AM(LR),FW",  ,9(2),651.0,2,2,1.2,1.5,1,2.1,-,1.8,1.8,6.75,"Alan PatrickInternacional, 31, M(CLR)",  ,9,705.0,-,1,30.0,81.9,-,1.1,-,6.87,"Róger GuedesCorinthians, 25, AM(CLR),FW",  ,4(3),412.0,-,1.1,14.3,70.0,0.4,0.3,-,6.69,"Pedro HenriqueInternacional, 32, AM(LR),FW"
116,  ,7(3),689.0,0.9,0.5,0.8,-,0.5,0.6,-,-,6.69,"Lucas BragaSantos FC, 25, M(LR)",  ,15(2),1211.0,1.3,0.6,0.9,0.1,0.5,1.1,0.2,-,6.75,"LimaCeara, 26, AM(CLR)",  ,4(2),392.0,1,-,1.3,1,1.2,1.2,0.2,0.7,1.2,6.87,"MoraesJuventude, 24, D(L)",  ,7(3),689.0,-,-,1.1,0.6,1.9,3,0.1,1.3,1.6,6.69,"Lucas BragaSantos FC, 25, M(LR)",  ,15(2),1211.0,2,-,1.8,1.2,1.1,1.9,0.1,1.8,1.5,6.75,"LimaCeara, 26, AM(CLR)",  ,4(2),392.0,-,1,27.8,76.0,1.3,1,-,6.87,"MoraesJuventude, 24, D(L)",  ,7(3),689.0,-,0.6,21.3,81.2,0.3,0.3,0.1,6.69,"Lucas BragaSantos FC, 25, M(LR)"
117,  ,8(1),733.0,1.3,1.2,1.3,-,1.8,0.8,0.3,-,6.69,"AllanAtletico MG, 25, DMC",  ,15(2),1122.0,0.7,0.1,0.9,-,0.3,0.5,-,-,6.75,"Raphael VeigaPalmeiras, 27, AM(CLR)",  ,6,496.0,-,-,0.5,0.2,0.2,0.2,0.2,0.2,0.3,6.87,"PabloFlamengo, 31, D(C)",  ,8(1),733.0,-,-,0.8,0.4,0.9,0.4,-,0.1,0.8,6.69,"AllanAtletico MG, 25, DMC",  ,15(2),1122.0,2,3,2.2,1.5,1.2,1.8,0.2,1.4,1.6,6.75,"Raphael VeigaPalmeiras, 27, AM(CLR)",  ,6,496.0,-,0.2,63.0,93.4,-,3,-,6.87,"PabloFlamengo, 31, D(C)",  ,8(1),733.0,-,0.4,63.4,84.4,-,4.3,-,6.69,"AllanAtletico MG, 25, DMC"
