,J,J,J,J,J,J,J,J,J,J,J,J,J,o,o,o,o,o,o,o,o,o,o,o,o,o,g,g,g,g,g,g,g,g,g,g,g,g,g,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,o,o,o,o,o,o,o,o,o,o,o,o,r,r,r,r,r,r,r,r,r,r,r,r
,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador
9,  ,6(1),594.0,2.7,1.7,0.7,0.6,3.6,0.3,1.1,-,7.12,"Víctor CuestaBotafogo RJ, 33, D(C)",  ,17(2),1580.0,2.6,1.4,1.6,0.2,1.8,1.4,0.1,-,7.14,"Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,10,890.0,-,3,1,1.4,3.2,2.5,0.1,1.2,1.5,7.4,"DiegoGoias, 26, D(R),M(R)",  ,6(1),594.0,-,-,0.4,0.3,0.3,0.1,0.1,-,0.3,7.12,"Víctor CuestaBotafogo RJ, 33, D(C)",  ,17(2),1580.0,-,2,0.9,1.5,1.7,1.7,-,1.2,1.8,7.14,"Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,10,890.0,3,1.4,28.6,79.4,1.6,1.4,-,7.4,"DiegoGoias, 26, D(R),M(R)",  ,6(1),594.0,-,0.3,52.9,85.7,-,2.7,-,7.12,"Víctor CuestaBotafogo RJ, 33, D(C)"
10,,,,,,,,,,,,,Erro:502,,,,,,,,,,,,,Erro:502,  ,5(2),494.0,1,2,1.7,2.6,2.3,1.6,0.1,2.7,2.6,7.4,"Luiz HenriqueFluminense, 21, AM(LR)",,,,,,,,,,,,,,Erro:502,,,,,,,,,,,,,,Erro:502,  ,5(2),494.0,2,2.6,24.9,82.8,0.1,0.6,-,7.4,"Luiz HenriqueFluminense, 21, AM(LR)",,,,,,,,,,,,Erro:502
11,,,,,,,,,,,,,Erro:502,,,,,,,,,,,,,Erro:502,  ,7(1),675.0,-,1,1.6,1.5,2.4,2.4,-,0.9,1.8,7.37,"Juninho CapixabaFortaleza, 25, D(L),M(L)",,,,,,,,,,,,,,Erro:502,,,,,,,,,,,,,,Erro:502,  ,7(1),675.0,1,1.5,43.6,76.2,1,2,-,7.37,"Juninho CapixabaFortaleza, 25, D(L),M(L)",,,,,,,,,,,,Erro:502
12,  ,8,720.0,1.1,1.9,1.1,0.1,3.3,0.6,1.1,-,7.1,"Gustavo GómezPalmeiras, 29, D(C)",  ,17,1530.0,1,1.5,1.1,0.1,3.2,0.6,0.9,-,7.13,"Gustavo GómezPalmeiras, 29, D(C)",  ,7(3),628.0,2,2,1.3,1.6,1.9,2.4,0.1,0.9,2.3,7.36,"Éverton RibeiroFlamengo, 33, AM(CLR)",  ,8,720.0,2,-,0.5,0.3,0.1,0.9,0.4,0.1,0.5,7.1,"Gustavo GómezPalmeiras, 29, D(C)",  ,17,1530.0,7,-,0.9,0.2,0.1,0.6,0.3,0.1,0.3,7.13,"Gustavo GómezPalmeiras, 29, D(C)",  ,7(3),628.0,2,1.6,36.9,85.1,0.5,1.3,-,7.36,"Éverton RibeiroFlamengo, 33, AM(CLR)",  ,8,720.0,-,0.3,47.9,82.2,-,3.1,-,7.1,"Gustavo GómezPalmeiras, 29, D(C)"
13,  ,8(1),723.0,1.8,2.2,1,0.3,5.4,0.6,1,-,7.05,"Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,12(2),1058.0,2.1,0.6,1.3,0.1,0.5,0.7,0.2,-,7.13,"Luiz HenriqueFluminense, 21, AM(LR)",  ,11,990.0,-,-,-,-,-,0.1,-,-,-,7.33,"CássioCorinthians, 35, GK",  ,8(1),723.0,-,-,0.3,0.6,-,1,-,0.1,0.2,7.05,"Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,12(2),1058.0,2,3,1.9,1.4,1.8,1.5,0.1,2.5,2.8,7.13,"Luiz HenriqueFluminense, 21, AM(LR)",  ,11,990.0,-,-,25.4,71.7,-,6.7,-,7.33,"CássioCorinthians, 35, GK",  ,8(1),723.0,-,0.6,36.9,78.3,0.1,5,-,7.05,"Pedro HenriqueAthletico Paranaense, 26, D(C)"
14,  ,9,810.0,0.8,1.1,0.4,0.6,5.2,0.4,1.3,-,7.05,"Eduardo BauermannSantos FC, 26, D(C)",  ,17(1),1465.0,1,0.6,0.5,-,0.4,0.7,0.2,-,7.12,"ArturRed Bull Bragantino, 24, AM(LR)",  ,10(1),723.0,5,1,2.6,1.3,1.4,2.1,0.1,0.9,1.5,7.31,"Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,9,810.0,1,-,0.7,-,0.3,0.9,-,-,0.2,7.05,"Eduardo BauermannSantos FC, 26, D(C)",  ,17(1),1465.0,3,5,2.4,2.4,1.2,1.2,0.2,0.9,2.5,7.12,"ArturRed Bull Bragantino, 24, AM(LR)",  ,10(1),723.0,1,1.3,17.7,66.7,0.2,0.5,-,7.31,"Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,9,810.0,-,-,49.7,82.8,-,2.9,-,7.05,"Eduardo BauermannSantos FC, 26, D(C)"
15,  ,11,990.0,-,0.2,-,-,1,-,-,-,7.04,"TadeuGoias, 30, GK",  ,17(1),1525.0,1.3,1.2,1.1,0.2,2.4,1,0.3,-,7.09,"Luan CândidoRed Bull Bragantino, 21, D(L)",  ,8(3),807.0,8,1,2.7,0.5,0.8,1.6,1,0.8,2,7.3,"Jonathan CalleriSao Paulo, 28, FW",  ,11,990.0,-,-,-,0.1,0.1,0.5,-,-,-,7.04,"TadeuGoias, 30, GK",  ,17(1),1525.0,5,2,2.1,0.6,0.3,0.5,0.4,0.4,0.8,7.09,"Luan CândidoRed Bull Bragantino, 21, D(L)",  ,8(3),807.0,1,0.5,13.4,71.4,-,0.2,-,7.3,"Jonathan CalleriSao Paulo, 28, FW",  ,11,990.0,-,0.1,30.5,63.4,-,9.5,-,7.04,"TadeuGoias, 30, GK"
16,  ,11,782.0,1.3,0.2,0.5,-,0.2,0.3,-,-,7.04,"GansoFluminense, 32, AM(C)",  ,18,1577.0,1.5,1.2,1.2,-,0.6,1.4,0.6,-,7.06,"AndréFluminense, 21, DMC",  ,9(2),831.0,2,4,1.1,1.9,1.7,1.7,0.1,1.5,2,7.28,"Jhon AriasFluminense, 24, AM(CL)",  ,11,782.0,3,2,0.5,2.5,1,1.3,-,0.9,0.6,7.04,"GansoFluminense, 32, AM(C)",  ,18,1577.0,1,1,0.8,0.9,2.4,1.7,-,0.9,1.1,7.06,"AndréFluminense, 21, DMC",  ,9(2),831.0,4,1.9,36.9,85.7,1.6,0.3,0.2,7.28,"Jhon AriasFluminense, 24, AM(CL)",  ,11,782.0,2,2.5,56.5,89.1,0.6,1.2,0.3,7.04,"GansoFluminense, 32, AM(C)"
17,  ,8,720.0,1.3,2.4,1.5,0.8,4.4,0.6,1.3,-,7.03,"Éder FerreiraAmerica MG, 27, D(C)",  ,17(1),1491.0,0.5,0.1,1,-,0.1,0.3,-,-,7.05,"Steven MendozaCeara, 30, AM(CLR)",  ,9,739.0,1,3,2.8,2,1.7,1.8,0.2,1.2,3,7.27,"ArturRed Bull Bragantino, 24, AM(LR)",  ,8,720.0,-,1,0.4,0.3,0.6,0.3,-,-,0.4,7.03,"Éder FerreiraAmerica MG, 27, D(C)",  ,17(1),1491.0,9,-,2.9,1.1,2.1,2.4,0.5,2.2,2.8,7.05,"Steven MendozaCeara, 30, AM(CLR)",  ,9,739.0,3,2,27.7,77.1,1.1,1.1,0.1,7.27,"ArturRed Bull Bragantino, 24, AM(LR)",  ,8,720.0,1,0.3,30.0,74.6,-,2.8,0.1,7.03,"Éder FerreiraAmerica MG, 27, D(C)"
18,  ,9,797.0,2.2,1.6,0.7,0.3,1.6,0.9,0.8,-,7.02,"DiegoGoias, 26, D(R),M(R)",  ,19,1710.0,-,-,-,-,1.3,0.1,-,-,7.04,"CássioCorinthians, 35, GK",  ,10,849.0,1,-,1,0.5,1.7,3.1,-,1,1.5,7.25,"RanieleAvai FC, 25, DMC",  ,9,797.0,-,-,0.7,0.4,2.6,1.4,-,0.8,1.6,7.02,"DiegoGoias, 26, D(R),M(R)",  ,19,1710.0,-,-,-,-,-,0.1,-,-,0.1,7.04,"CássioCorinthians, 35, GK",  ,10,849.0,-,0.5,45.2,75.7,-,2.9,-,7.25,"RanieleAvai FC, 25, DMC",  ,9,797.0,-,0.4,25.3,86.4,0.3,1.6,-,7.02,"DiegoGoias, 26, D(R),M(R)"
