Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"Marcos RochaPalmeiras, 33, D(R),M(R)","49Marcos RochaPalmeiras, 33, D(R),M(R)",  ,6,476.0,2.2,1.3,1.3,-,1.8,0.8,0.2,-,7.07,"49Marcos RochaPalmeiras, 33, D(R),M(R)",  ,6,476.0,-,-,0.2,1.5,0.7,0.5,-,0.5,0.2,7.07,"49Marcos RochaPalmeiras, 33, D(R),M(R)",  ,6,476.0,-,1.5,54.0,79.3,0.5,5,-,7.07,"49Marcos RochaPalmeiras, 33, D(R),M(R)",  ,6,476.0,-,-,1,-,0.2,79.3,0.3,-,7.07
"Samuel XavierFluminense, 32, D(R)","50Samuel XavierFluminense, 32, D(R)",  ,8,704.0,1,0.9,0.8,0.4,1.8,0.9,0.1,-,7.07,"50Samuel XavierFluminense, 32, D(R)",  ,8,704.0,1,2,1.5,0.9,0.8,1.8,0.3,0.9,1.3,7.07,"50Samuel XavierFluminense, 32, D(R)",  ,8,704.0,2,0.9,43.5,85.3,0.6,1.4,0.4,7.07,"50Samuel XavierFluminense, 32, D(R)",  ,8,704.0,1,2,1,-,1.5,85.3,1,-,7.07
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wellington RatoAtletico GO, 30, AM(LR),FW","51Wellington RatoAtletico GO, 30, AM(LR),FW",  ,10(1),883.0,0.6,0.3,0.8,-,0.7,1.1,0.1,-,7.06,"51Wellington RatoAtletico GO, 30, AM(LR),FW",  ,10(1),883.0,3,1,3.4,1.3,1.5,1.6,0.1,0.8,1.5,7.06,"51Wellington RatoAtletico GO, 30, AM(LR),FW",  ,10(1),883.0,1,1.3,28.2,81.3,0.3,2,-,7.06,"51Wellington RatoAtletico GO, 30, AM(LR),FW",  ,10(1),883.0,3,1,1,-,3.4,81.3,1,1,7.06
"Carlos de PenaInternacional, 30, AM(CL)","52Carlos de PenaInternacional, 30, AM(CL)",  ,11,895.0,1,1.8,0.7,0.1,1,0.8,0.1,-,7.06,"52Carlos de PenaInternacional, 30, AM(CL)",  ,11,895.0,1,2,1.8,1.5,0.5,0.6,-,0.5,0.9,7.06,"52Carlos de PenaInternacional, 30, AM(CL)",  ,11,895.0,2,1.5,48.1,79.6,1.3,3.3,-,7.06,"52Carlos de PenaInternacional, 30, AM(CL)",  ,11,895.0,1,2,2,-,1.8,79.6,0.7,-,7.06
"BissoliAvai FC, 24, FW","53BissoliAvai FC, 24, FW",  ,10(1),845.0,0.5,0.5,2,0.1,0.9,0.6,0.1,-,7.05,"53BissoliAvai FC, 24, FW",  ,10(1),845.0,8,-,2.3,0.7,0.5,0.9,0.4,1.4,1.5,7.05,"53BissoliAvai FC, 24, FW",  ,10(1),845.0,-,0.7,18.1,69.8,-,0.7,-,7.05,"53BissoliAvai FC, 24, FW",  ,10(1),845.0,8,-,2,-,2.3,69.8,1.7,2,7.05
"Fábio SantosCorinthians, 36, D(L)","54Fábio SantosCorinthians, 36, D(L)",  ,7,590.0,1.6,0.9,1,-,2.3,1.1,0.1,-,7.04,"54Fábio SantosCorinthians, 36, D(L)",  ,7,590.0,1,-,0.3,0.7,0.3,0.6,-,0.1,0.7,7.04,"54Fábio SantosCorinthians, 36, D(L)",  ,7,590.0,-,0.7,65.1,87.5,0.1,1.6,0.1,7.04,"54Fábio SantosCorinthians, 36, D(L)",  ,7,590.0,1,-,-,-,0.3,87.5,1.7,1,7.04
"NinoFluminense, 25, D(C)","55NinoFluminense, 25, D(C)",  ,8,720.0,0.8,1.3,1,0.6,3.4,0.4,0.6,-,7.04,"55NinoFluminense, 25, D(C)",  ,8,720.0,-,-,0.8,0.5,0.5,1.8,0.3,0.4,0.5,7.04,"55NinoFluminense, 25, D(C)",  ,8,720.0,-,0.5,56.6,91.6,-,3,-,7.04,"55NinoFluminense, 25, D(C)",  ,8,720.0,-,-,1,-,0.8,91.6,2.4,1,7.04
"PedroFlamengo, 25, FW","56PedroFlamengo, 25, FW",  ,5(3),391.0,0.1,0.3,0.6,0.1,0.5,0.1,-,-,7.04,"56PedroFlamengo, 25, FW",  ,5(3),391.0,4,2,1.8,0.5,0.6,0.9,0.3,1,1.6,7.04,"56PedroFlamengo, 25, FW",  ,5(3),391.0,2,0.5,7.8,72.6,-,0.1,-,7.04,"56PedroFlamengo, 25, FW",  ,5(3),391.0,4,2,-,-,1.8,72.6,1.3,-,7.04
"David TeransAthletico Paranaense, 28, AM(CL)","57David TeransAthletico Paranaense, 28, AM(CL)",  ,8,627.0,0.5,0.6,1.1,-,-,0.8,-,-,7.04,"57David TeransAthletico Paranaense, 28, AM(CL)",  ,8,627.0,5,1,4.1,1.3,1.4,0.5,0.1,1.3,2.8,7.04,"57David TeransAthletico Paranaense, 28, AM(CL)",  ,8,627.0,1,1.3,25.6,79.5,0.8,2.1,-,7.04,"57David TeransAthletico Paranaense, 28, AM(CL)",  ,8,627.0,5,1,2,-,4.1,79.5,0.1,3,7.04
"MaykePalmeiras, 29, D(R)","58MaykePalmeiras, 29, D(R)",  ,4(4),422.0,1.5,1.9,0.6,-,0.9,0.6,0.1,-,7.03,"58MaykePalmeiras, 29, D(R)",  ,4(4),422.0,1,-,0.5,1.3,0.5,0.4,-,-,0.5,7.03,"58MaykePalmeiras, 29, D(R)",  ,4(4),422.0,-,1.3,37.0,87.8,0.8,2,-,7.03,"58MaykePalmeiras, 29, D(R)",  ,4(4),422.0,1,-,1,-,0.5,87.8,1.3,2,7.03
"Fabricio BustosInternacional, 26, D(R)","59Fabricio BustosInternacional, 26, D(R)",  ,9,737.0,1.7,0.9,0.7,0.3,1.6,0.8,0.1,-,7.03,"59Fabricio BustosInternacional, 26, D(R)",  ,9,737.0,2,2,0.6,1.7,0.7,0.4,-,0.3,0.4,7.03,"59Fabricio BustosInternacional, 26, D(R)",  ,9,737.0,2,1.7,46.7,80.2,0.6,1.8,-,7.03,"59Fabricio BustosInternacional, 26, D(R)",  ,9,737.0,2,2,1,-,0.6,80.2,0.3,-,7.03
"DuduPalmeiras, 30, AM(CLR),FW","61DuduPalmeiras, 30, AM(CLR),FW",  ,11,819.0,0.3,0.5,0.3,-,-,0.6,-,-,7.0,"61DuduPalmeiras, 30, AM(CLR),FW",  ,11,819.0,2,2,1.8,1.7,1.5,1.7,0.2,0.8,1.5,7.0,"61DuduPalmeiras, 30, AM(CLR),FW",  ,11,819.0,2,1.7,25.1,75.4,0.3,1.7,0.2,7.0,"61DuduPalmeiras, 30, AM(CLR),FW",  ,11,819.0,2,2,-,-,1.8,75.4,0.1,1,7.0
"PatrickSao Paulo, 30, M(CL)","62PatrickSao Paulo, 30, M(CL)",  ,8(1),577.0,2,0.2,1.3,-,0.6,0.8,0.1,-,7.0,"62PatrickSao Paulo, 30, M(CL)",  ,8(1),577.0,4,1,1.2,1.2,1,1.2,0.1,1.3,2.1,7.0,"62PatrickSao Paulo, 30, M(CL)",  ,8(1),577.0,1,1.2,20.3,79.8,0.8,0.2,-,7.0,"62PatrickSao Paulo, 30, M(CL)",  ,8(1),577.0,4,1,2,-,1.2,79.8,1.1,1,7.0
"Léo GamalhoCoritiba, 36, FW","63Léo GamalhoCoritiba, 36, FW",  ,8(2),728.0,0.4,-,1.3,-,0.6,0.5,-,-,6.99,"63Léo GamalhoCoritiba, 36, FW",  ,8(2),728.0,6,-,1.9,0.6,-,1.9,0.4,0.9,0.9,6.99,"63Léo GamalhoCoritiba, 36, FW",  ,8(2),728.0,-,0.6,10.8,71.3,-,0.3,-,6.99,"63Léo GamalhoCoritiba, 36, FW",  ,8(2),728.0,6,-,-,-,1.9,71.3,2.9,1,6.99
"EveraldoAmerica MG, 28, AM(CLR)","64EveraldoAmerica MG, 28, AM(CLR)",  ,7(2),552.0,0.9,0.2,1.2,-,-,0.6,0.1,-,6.99,"64EveraldoAmerica MG, 28, AM(CLR)",  ,7(2),552.0,2,2,1.8,1.7,1.4,1.9,0.1,0.4,1.8,6.99,"64EveraldoAmerica MG, 28, AM(CLR)",  ,7(2),552.0,2,1.7,23.0,81.6,1.3,0.8,0.1,6.99,"64EveraldoAmerica MG, 28, AM(CLR)",  ,7(2),552.0,2,2,3,-,1.8,81.6,0.2,2,6.99
"Marcelo BoeckFortaleza, 37, GK","65Marcelo BoeckFortaleza, 37, GK",  ,6,540.0,-,0.2,-,-,0.8,-,-,-,6.99,"65Marcelo BoeckFortaleza, 37, GK",  ,6,540.0,-,-,-,-,-,0.2,-,-,-,6.99,"65Marcelo BoeckFortaleza, 37, GK",  ,6,540.0,-,-,18.0,66.7,-,4.7,-,6.99,"65Marcelo BoeckFortaleza, 37, GK",  ,6,540.0,-,-,-,-,-,66.7,0.2,-,6.99
"NicolásGoias, 32, Forward","66NicolásGoias, 32, Forward",  ,3(4),390.0,1,-,1.6,0.1,1,1,-,-,6.99,"66NicolásGoias, 32, Forward",  ,3(4),390.0,3,1,2,0.9,0.4,1,0.1,0.6,3,6.99,"66NicolásGoias, 32, Forward",  ,3(4),390.0,1,0.9,15.0,62.9,0.1,0.3,-,6.99,"66NicolásGoias, 32, Forward",  ,3(4),390.0,3,1,-,-,2,62.9,3.9,1,6.99
"WelingtonSao Paulo, 21, D(L),M(L)","67WelingtonSao Paulo, 21, D(L),M(L)",  ,5(4),548.0,1.1,1,0.6,-,1.2,0.7,0.1,-,6.98,"67WelingtonSao Paulo, 21, D(L),M(L)",  ,5(4),548.0,-,3,0.3,2.1,1,1,-,0.6,1.4,6.98,"67WelingtonSao Paulo, 21, D(L),M(L)",  ,5(4),548.0,3,2.1,28.6,82.9,1.7,1.4,-,6.98,"67WelingtonSao Paulo, 21, D(L),M(L)",  ,5(4),548.0,-,3,-,-,0.3,82.9,0.4,-,6.98
"Matheus MartinsFluminense, 19, Midfielder","68Matheus MartinsFluminense, 19, Midfielder",  ,3(4),360.0,1.4,0.6,1.1,-,0.4,0.6,-,-,6.98,"68Matheus MartinsFluminense, 19, Midfielder",  ,3(4),360.0,2,1,1.7,0.9,1.1,0.9,0.3,1,0.9,6.98,"68Matheus MartinsFluminense, 19, Midfielder",  ,3(4),360.0,1,0.9,18.0,87.3,0.1,0.6,0.1,6.98,"68Matheus MartinsFluminense, 19, Midfielder",  ,3(4),360.0,2,1,1,-,1.7,87.3,0.3,1,6.98
"PedrinhoAmerica MG, 22, AM(CL)","69PedrinhoAmerica MG, 22, AM(CL)",  ,4(3),375.0,0.7,0.6,1.3,0.1,0.3,1.4,-,-,6.98,"69PedrinhoAmerica MG, 22, AM(CL)",  ,4(3),375.0,2,2,1.7,1.4,1.7,0.3,0.3,1.4,2.1,6.98,"69PedrinhoAmerica MG, 22, AM(CL)",  ,4(3),375.0,2,1.4,16.6,71.6,0.3,0.9,-,6.98,"69PedrinhoAmerica MG, 22, AM(CL)",  ,4(3),375.0,2,2,1,-,1.7,71.6,0.1,1,6.98
"Luan CândidoRed Bull Bragantino, 21, D(L)","70Luan CândidoRed Bull Bragantino, 21, D(L)",  ,10,880.0,1.1,1.4,1,0.3,2.5,1,0.2,-,6.97,"70Luan CândidoRed Bull Bragantino, 21, D(L)",  ,10,880.0,2,-,2.1,0.4,0.1,0.7,0.3,0.6,0.7,6.97,"70Luan CândidoRed Bull Bragantino, 21, D(L)",  ,10,880.0,-,0.4,35.2,78.4,0.2,1,-,6.97,"70Luan CândidoRed Bull Bragantino, 21, D(L)",  ,10,880.0,2,-,1,1,2.1,78.4,3.7,-,6.97
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"João GomesFlamengo, 21, DMC","71João GomesFlamengo, 21, DMC",  ,7(2),548.0,2.9,0.7,1.3,0.2,0.6,1.7,0.2,-,6.96,"71João GomesFlamengo, 21, DMC",  ,7(2),548.0,-,1,0.2,0.9,0.9,1.8,-,0.4,1.3,6.96,"71João GomesFlamengo, 21, DMC",  ,7(2),548.0,1,0.9,32.6,88.1,0.1,1.2,0.2,6.96,"71João GomesFlamengo, 21, DMC",  ,7(2),548.0,-,1,3,-,0.2,88.1,0.3,-,6.96
"GilCorinthians, 35, D(C)","72GilCorinthians, 35, D(C)",  ,7,568.0,1.4,1.6,0.6,0.6,3.3,-,0.9,-,6.96,"72GilCorinthians, 35, D(C)",  ,7,568.0,-,-,0.3,-,-,0.6,0.1,0.1,0.4,6.96,"72GilCorinthians, 35, D(C)",  ,7,568.0,-,-,48.7,87.4,-,2.1,-,6.96,"72GilCorinthians, 35, D(C)",  ,7,568.0,-,-,1,-,0.3,87.4,2.3,-,6.96
"TadeuGoias, 30, GK","73TadeuGoias, 30, GK",  ,11,990.0,-,-,-,-,1.1,-,-,-,6.96,"73TadeuGoias, 30, GK",  ,11,990.0,-,-,-,0.1,-,0.5,-,-,-,6.96,"73TadeuGoias, 30, GK",  ,11,990.0,-,0.1,31.5,64.5,-,9.2,-,6.96,"73TadeuGoias, 30, GK",  ,11,990.0,-,-,-,-,-,64.5,0.2,1,6.96
"JorginhoAtletico GO, 31, AM(CL)","74JorginhoAtletico GO, 31, AM(CL)",  ,9,742.0,1,0.3,0.3,-,1,0.7,-,-,6.96,"74JorginhoAtletico GO, 31, AM(CL)",  ,9,742.0,1,-,1.8,1.7,2,1.4,0.3,1.3,1.9,6.96,"74JorginhoAtletico GO, 31, AM(CL)",  ,9,742.0,-,1.7,41.8,79.5,1,3.1,0.1,6.96,"74JorginhoAtletico GO, 31, AM(CL)",  ,9,742.0,1,-,3,-,1.8,79.5,1.6,1,6.96
"AbnerAthletico Paranaense, 22, D(L),M(L)","75AbnerAthletico Paranaense, 22, D(L),M(L)",  ,10,856.0,2.3,2.2,1.1,-,1.9,0.7,-,-,6.95,"75AbnerAthletico Paranaense, 22, D(L),M(L)",  ,10,856.0,1,-,0.6,1,0.5,0.4,0.1,0.6,0.8,6.95,"75AbnerAthletico Paranaense, 22, D(L),M(L)",  ,10,856.0,-,1,39.3,81.4,0.2,1.3,-,6.95,"75AbnerAthletico Paranaense, 22, D(L),M(L)",  ,10,856.0,1,-,2,-,0.6,81.4,0.9,1,6.95
"ÂngeloSantos FC, 17, AM(R)","76ÂngeloSantos FC, 17, AM(R)",  ,4(2),299.0,0.3,0.2,1,-,0.2,0.5,-,-,6.95,"76ÂngeloSantos FC, 17, AM(R)",  ,4(2),299.0,-,2,1.5,1.3,3.5,1.2,0.2,0.8,1.7,6.95,"76ÂngeloSantos FC, 17, AM(R)",  ,4(2),299.0,2,1.3,14.3,86.0,0.3,0.5,-,6.95,"76ÂngeloSantos FC, 17, AM(R)",  ,4(2),299.0,-,2,1,-,1.5,86.0,0.2,-,6.95
"Matheus CavichioliAmerica MG, 36, GK","77Matheus CavichioliAmerica MG, 36, GK",  ,5,450.0,0.2,0.2,-,-,1.4,-,-,-,6.95,"77Matheus CavichioliAmerica MG, 36, GK",  ,5,450.0,-,-,-,-,-,-,-,-,-,6.95,"77Matheus CavichioliAmerica MG, 36, GK",  ,5,450.0,-,-,26.0,64.6,-,5,-,6.95,"77Matheus CavichioliAmerica MG, 36, GK",  ,5,450.0,-,-,-,-,-,64.6,0.8,-,6.95
"William PottkerAvai FC, 28, AM(LR),FW","78William PottkerAvai FC, 28, AM(LR),FW",  ,5(3),503.0,0.5,0.4,0.9,-,0.4,1,-,-,6.95,"78William PottkerAvai FC, 28, AM(LR),FW",  ,5(3),503.0,-,1,1.5,1.5,2.4,1.5,0.4,1.3,3.6,6.95,"78William PottkerAvai FC, 28, AM(LR),FW",  ,5(3),503.0,1,1.5,25.0,83.0,0.8,0.6,-,6.95,"78William PottkerAvai FC, 28, AM(LR),FW",  ,5(3),503.0,-,1,2,-,1.5,83.0,1.8,2,6.95
"Raul GustavoCorinthians, 23, D(C)","79Raul GustavoCorinthians, 23, D(C)",  ,8(1),765.0,1,1.4,0.7,1,2.2,0.3,0.7,-,6.94,"79Raul GustavoCorinthians, 23, D(C)",  ,8(1),765.0,1,1,0.4,0.1,0.1,1,-,0.2,0.8,6.94,"79Raul GustavoCorinthians, 23, D(C)",  ,8(1),765.0,1,0.1,55.0,84.0,-,2.6,-,6.94,"79Raul GustavoCorinthians, 23, D(C)",  ,8(1),765.0,1,1,-,-,0.4,84.0,2.2,1,6.94
"DuduAtletico GO, 25, D(R)","80DuduAtletico GO, 25, D(R)",  ,4(1),378.0,2,0.8,0.8,0.2,2.4,0.4,0.6,-,6.94,"80DuduAtletico GO, 25, D(R)",  ,4(1),378.0,-,1,0.6,1.2,0.8,0.6,0.2,0.4,0.6,6.94,"80DuduAtletico GO, 25, D(R)",  ,4(1),378.0,1,1.2,30.6,82.4,0.8,2.6,-,6.94,"80DuduAtletico GO, 25, D(R)",  ,4(1),378.0,-,1,-,-,0.6,82.4,0.8,-,6.94
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joaquín PiquerezPalmeiras, 23, D(L)","81Joaquín PiquerezPalmeiras, 23, D(L)",  ,7,592.0,2.7,1.3,0.7,0.1,1.3,2.1,0.6,-,6.93,"81Joaquín PiquerezPalmeiras, 23, D(L)",  ,7,592.0,-,1,0.9,0.7,0.7,1.1,-,0.3,0.9,6.93,"81Joaquín PiquerezPalmeiras, 23, D(L)",  ,7,592.0,1,0.7,42.9,84.3,-,2.7,-,6.93,"81Joaquín PiquerezPalmeiras, 23, D(L)",  ,7,592.0,-,1,2,-,0.9,84.3,1,-,6.93
"Jean IrmerJuventude, 27, DMC","82Jean IrmerJuventude, 27, DMC",  ,4(1),371.0,3.4,1.4,2.2,0.2,2.8,1,0.4,-,6.93,"82Jean IrmerJuventude, 27, DMC",  ,4(1),371.0,-,-,1.2,0.2,0.4,0.8,-,0.4,1.2,6.93,"82Jean IrmerJuventude, 27, DMC",  ,4(1),371.0,-,0.2,27.0,68.9,0.2,1.6,-,6.93,"82Jean IrmerJuventude, 27, DMC",  ,4(1),371.0,-,-,2,-,1.2,68.9,3,2,6.93
"JuninhoAmerica MG, 34, D(L),M(CR)","83JuninhoAmerica MG, 34, D(L),M(CR)",  ,10,900.0,1.3,1.2,0.3,-,1.2,0.4,0.4,-,6.93,"83JuninhoAmerica MG, 34, D(L),M(CR)",  ,10,900.0,-,2,0.6,1.7,1.7,1.3,0.1,0.9,2.3,6.93,"83JuninhoAmerica MG, 34, D(L),M(CR)",  ,10,900.0,2,1.7,36.4,73.6,0.1,1.2,-,6.93,"83JuninhoAmerica MG, 34, D(L),M(CR)",  ,10,900.0,-,2,-,-,0.6,73.6,1,-,6.93
"Caio PaulistaFluminense, 24, D(L),M(LR)","84Caio PaulistaFluminense, 24, D(L),M(LR)",  ,4(4),430.0,1.1,0.3,0.3,0.4,0.5,0.4,0.1,-,6.93,"84Caio PaulistaFluminense, 24, D(L),M(LR)",  ,4(4),430.0,-,1,1.5,0.6,2.4,0.5,-,1.3,1.1,6.93,"84Caio PaulistaFluminense, 24, D(L),M(LR)",  ,4(4),430.0,1,0.6,25.6,85.4,0.3,0.3,-,6.93,"84Caio PaulistaFluminense, 24, D(L),M(LR)",  ,4(4),430.0,-,1,1,-,1.5,85.4,0.4,-,6.93
"Gabriel VeronPalmeiras, 19, AM(LR)","85Gabriel VeronPalmeiras, 19, AM(LR)",  ,4(3),327.0,1.3,0.3,0.4,-,0.1,0.3,-,-,6.92,"85Gabriel VeronPalmeiras, 19, AM(LR)",  ,4(3),327.0,1,2,0.9,1,0.9,0.3,-,0.7,0.7,6.92,"85Gabriel VeronPalmeiras, 19, AM(LR)",  ,4(3),327.0,2,1,10.0,82.9,-,0.4,-,6.92,"85Gabriel VeronPalmeiras, 19, AM(LR)",  ,4(3),327.0,1,2,-,-,0.9,82.9,0.1,-,6.92
"WillianCorinthians, 34, AM(CLR)","86WillianCorinthians, 34, AM(CLR)",  ,5(3),464.0,1.4,0.5,0.6,-,0.3,0.4,0.1,-,6.92,"86WillianCorinthians, 34, AM(CLR)",  ,5(3),464.0,-,-,1,0.9,2.5,2.9,0.3,0.9,1.4,6.92,"86WillianCorinthians, 34, AM(CLR)",  ,5(3),464.0,-,0.9,25.3,84.7,0.3,1.3,-,6.92,"86WillianCorinthians, 34, AM(CLR)",  ,5(3),464.0,-,-,1,-,1,84.7,0.4,2,6.92
"GugaAtletico MG, 23, D(R),M(R)","87GugaAtletico MG, 23, D(R),M(R)",  ,7(1),630.0,2.5,1,0.6,0.1,1,0.6,0.3,-,6.92,"87GugaAtletico MG, 23, D(R),M(R)",  ,7(1),630.0,-,-,0.9,1.3,0.4,0.8,-,0.5,0.6,6.92,"87GugaAtletico MG, 23, D(R),M(R)",  ,7(1),630.0,-,1.3,40.4,86.7,1,1,-,6.92,"87GugaAtletico MG, 23, D(R),M(R)",  ,7(1),630.0,-,-,-,-,0.9,86.7,1.1,-,6.92
"Rafael RamosCorinthians, 27, D(R)","88Rafael RamosCorinthians, 27, D(R)",  ,10,761.0,2.2,1,1.3,0.3,1.4,0.7,0.1,-,6.92,"88Rafael RamosCorinthians, 27, D(R)",  ,10,761.0,-,1,0.5,0.7,0.8,0.7,-,0.2,0.4,6.92,"88Rafael RamosCorinthians, 27, D(R)",  ,10,761.0,1,0.7,45.4,79.1,0.2,1.8,-,6.92,"88Rafael RamosCorinthians, 27, D(R)",  ,10,761.0,-,1,2,-,0.5,79.1,0.3,1,6.92
"DanielInternacional, 28, GK","89DanielInternacional, 28, GK",  ,11,990.0,-,-,-,-,0.5,0.1,-,-,6.92,"89DanielInternacional, 28, GK",  ,11,990.0,-,-,-,-,0.1,0.3,-,-,-,6.92,"89DanielInternacional, 28, GK",  ,11,990.0,-,-,19.6,66.7,-,4.7,-,6.92,"89DanielInternacional, 28, GK",  ,11,990.0,-,-,2,-,-,66.7,0.1,-,6.92
"Pedro HenriqueAthletico Paranaense, 26, D(C)","91Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8,709.0,1.6,1.4,0.6,0.4,3.3,0.4,0.9,-,6.91,"91Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8,709.0,-,-,0.3,0.1,-,1.1,-,-,0.5,6.91,"91Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8,709.0,-,0.1,43.5,79.9,-,6.1,-,6.91,"91Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8,709.0,-,-,1,-,0.3,79.9,2.8,-,6.91
"Guilherme AranaAtletico MG, 25, D(L),M(L)","92Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,6(1),567.0,1.1,0.4,1.6,0.1,0.7,0.3,0.4,-,6.91,"92Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,6(1),567.0,-,-,1.9,1.7,1.1,0.3,-,-,1,6.91,"92Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,6(1),567.0,-,1.7,62.0,88.0,1.4,3.4,-,6.91,"92Guilherme AranaAtletico MG, 25, D(L),M(L)",  ,6(1),567.0,-,-,3,-,1.9,88.0,0.3,-,6.91
"Bruno PraxedesRed Bull Bragantino, 20, M(C)","93Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,4(2),298.0,0.5,0.3,1.3,-,0.2,0.5,-,-,6.91,"93Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,4(2),298.0,1,2,1.7,1,1.2,1.3,0.3,0.7,0.3,6.91,"93Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,4(2),298.0,2,1,23.7,91.5,0.5,2,0.2,6.91,"93Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,4(2),298.0,1,2,1,-,1.7,91.5,0.2,-,6.91
"Zé RafaelPalmeiras, 29, M(CLR)","94Zé RafaelPalmeiras, 29, M(CLR)",  ,10(1),788.0,1.8,0.7,1.3,-,0.4,1.9,0.2,-,6.91,"94Zé RafaelPalmeiras, 29, M(CLR)",  ,10(1),788.0,2,1,1.4,0.9,1,1.7,-,1.8,1.2,6.91,"94Zé RafaelPalmeiras, 29, M(CLR)",  ,10(1),788.0,1,0.9,30.6,87.2,0.2,2,0.1,6.91,"94Zé RafaelPalmeiras, 29, M(CLR)",  ,10(1),788.0,2,1,3,-,1.4,87.2,1,-,6.91
"Gabriel BarbosaFlamengo, 25, AM(LR),FW","95Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,7(2),602.0,0.3,0.1,0.3,-,-,0.2,-,-,6.91,"95Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,7(2),602.0,3,1,3.1,1.3,0.7,1,1.1,0.7,1.6,6.91,"95Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,7(2),602.0,1,1.3,20.0,88.9,0.4,1.2,0.3,6.91,"95Gabriel BarbosaFlamengo, 25, AM(LR),FW",  ,7(2),602.0,3,1,3,-,3.1,88.9,0.1,-,6.91
"Zé WelisonFortaleza, 27, D(R),DMC","96Zé WelisonFortaleza, 27, D(R),DMC",  ,6(3),563.0,1.4,2.2,0.9,0.1,0.8,0.8,-,-,6.91,"96Zé WelisonFortaleza, 27, D(R),DMC",  ,6(3),563.0,1,-,1.3,0.6,1.3,0.7,-,0.8,0.6,6.91,"96Zé WelisonFortaleza, 27, D(R),DMC",  ,6(3),563.0,-,0.6,36.4,86.6,0.3,3.9,-,6.91,"96Zé WelisonFortaleza, 27, D(R),DMC",  ,6(3),563.0,1,-,1,-,1.3,86.6,1,-,6.91
"ReinaldoSao Paulo, 32, D(L),M(L)","97ReinaldoSao Paulo, 32, D(L),M(L)",  ,5(1),404.0,0.5,0.3,1.5,-,0.8,0.5,0.2,-,6.91,"97ReinaldoSao Paulo, 32, D(L),M(L)",  ,5(1),404.0,-,2,1.3,2.5,0.8,0.5,-,1,1.5,6.91,"97ReinaldoSao Paulo, 32, D(L),M(L)",  ,5(1),404.0,2,2.5,21.8,75.6,2.5,0.8,0.2,6.91,"97ReinaldoSao Paulo, 32, D(L),M(L)",  ,5(1),404.0,-,2,1,-,1.3,75.6,0.2,1,6.91
"DaniloPalmeiras, 21, DMC","98DaniloPalmeiras, 21, DMC",  ,9(1),767.0,2.3,0.9,1.4,-,0.8,1,0.1,-,6.9,"98DaniloPalmeiras, 21, DMC",  ,9(1),767.0,1,1,1.3,0.9,0.9,0.6,0.1,0.7,0.7,6.9,"98DaniloPalmeiras, 21, DMC",  ,9(1),767.0,1,0.9,32.2,84.2,-,1.8,-,6.9,"98DaniloPalmeiras, 21, DMC",  ,9(1),767.0,1,1,2,-,1.3,84.2,0.8,-,6.9
"Iago MaidanaAmerica MG, 26, D(C)","99Iago MaidanaAmerica MG, 26, D(C)",  ,4(1),354.0,0.8,0.4,1.6,0.4,3.6,0.6,-,-,6.9,"99Iago MaidanaAmerica MG, 26, D(C)",  ,4(1),354.0,2,-,1,0.4,-,0.2,-,0.2,0.2,6.9,"99Iago MaidanaAmerica MG, 26, D(C)",  ,4(1),354.0,-,0.4,31.6,74.7,-,2,-,6.9,"99Iago MaidanaAmerica MG, 26, D(C)",  ,4(1),354.0,2,-,1,-,1,74.7,3,-,6.9
