Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"Luiz HenriqueFluminense, 21, AM(LR)","11Luiz HenriqueFluminense, 21, AM(LR)",  ,5(2),494.0,2.4,0.4,0.3,0.1,0.6,0.3,0.3,-,7.4,"11Luiz HenriqueFluminense, 21, AM(LR)",  ,5(2),494.0,1,2,1.7,2.6,2.3,1.6,0.1,2.7,2.6,7.4,"11Luiz HenriqueFluminense, 21, AM(LR)",  ,5(2),494.0,2,2.6,24.9,82.8,0.1,0.6,-,7.4,"11Luiz HenriqueFluminense, 21, AM(LR)",  ,5(2),494.0,1,2,-,-,1.7,82.8,1,1,7.4
"Juninho CapixabaFortaleza, 25, D(L),M(L)","12Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,7(1),675.0,2.8,1.6,1.3,0.1,1.3,1.3,-,-,7.37,"12Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,7(1),675.0,-,1,1.6,1.5,2.4,2.4,-,0.9,1.8,7.37,"12Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,7(1),675.0,1,1.5,43.6,76.2,1,2,-,7.37,"12Juninho CapixabaFortaleza, 25, D(L),M(L)",  ,7(1),675.0,-,1,1,-,1.6,76.2,2.4,3,7.37
"Éverton RibeiroFlamengo, 33, AM(CLR)","13Éverton RibeiroFlamengo, 33, AM(CLR)",  ,7(3),628.0,1.8,0.8,1.3,-,0.3,0.9,-,-,7.36,"13Éverton RibeiroFlamengo, 33, AM(CLR)",  ,7(3),628.0,2,2,1.3,1.6,1.9,2.4,0.1,0.9,2.3,7.36,"13Éverton RibeiroFlamengo, 33, AM(CLR)",  ,7(3),628.0,2,1.6,36.9,85.1,0.5,1.3,-,7.36,"13Éverton RibeiroFlamengo, 33, AM(CLR)",  ,7(3),628.0,2,2,-,-,1.3,85.1,0.7,2,7.36
"CássioCorinthians, 35, GK","14CássioCorinthians, 35, GK",  ,11,990.0,-,-,-,-,1,-,-,-,7.33,"14CássioCorinthians, 35, GK",  ,11,990.0,-,-,-,-,-,0.1,-,-,-,7.33,"14CássioCorinthians, 35, GK",  ,11,990.0,-,-,25.4,71.7,-,6.7,-,7.33,"14CássioCorinthians, 35, GK",  ,11,990.0,-,-,-,-,-,71.7,0.4,2,7.33
"Léo BaptistãoSantos FC, 29, AM(CLR),FW","15Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,10(1),723.0,1.2,0.5,1.4,-,1.3,1,0.1,-,7.31,"15Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,10(1),723.0,5,1,2.6,1.3,1.4,2.1,0.1,0.9,1.5,7.31,"15Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,10(1),723.0,1,1.3,17.7,66.7,0.2,0.5,-,7.31,"15Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,10(1),723.0,5,1,-,-,2.6,66.7,1.6,1,7.31
"Jonathan CalleriSao Paulo, 28, FW","16Jonathan CalleriSao Paulo, 28, FW",  ,8(3),807.0,0.3,0.1,1,-,0.6,0.4,0.1,-,7.3,"16Jonathan CalleriSao Paulo, 28, FW",  ,8(3),807.0,8,1,2.7,0.5,0.8,1.6,1,0.8,2,7.3,"16Jonathan CalleriSao Paulo, 28, FW",  ,8(3),807.0,1,0.5,13.4,71.4,-,0.2,-,7.3,"16Jonathan CalleriSao Paulo, 28, FW",  ,8(3),807.0,8,1,1,-,2.7,71.4,2.7,2,7.3
"Jhon AriasFluminense, 24, AM(CL)","17Jhon AriasFluminense, 24, AM(CL)",  ,9(2),831.0,1.5,0.4,1.5,-,0.4,0.3,0.1,-,7.28,"17Jhon AriasFluminense, 24, AM(CL)",  ,9(2),831.0,2,4,1.1,1.9,1.7,1.7,0.1,1.5,2,7.28,"17Jhon AriasFluminense, 24, AM(CL)",  ,9(2),831.0,4,1.9,36.9,85.7,1.6,0.3,0.2,7.28,"17Jhon AriasFluminense, 24, AM(CL)",  ,9(2),831.0,2,4,3,-,1.1,85.7,0.2,2,7.28
"ArturRed Bull Bragantino, 24, AM(LR)","18ArturRed Bull Bragantino, 24, AM(LR)",  ,9,739.0,1.2,0.7,0.3,-,0.4,0.6,0.2,-,7.27,"18ArturRed Bull Bragantino, 24, AM(LR)",  ,9,739.0,1,3,2.8,2,1.7,1.8,0.2,1.2,3,7.27,"18ArturRed Bull Bragantino, 24, AM(LR)",  ,9,739.0,3,2,27.7,77.1,1.1,1.1,0.1,7.27,"18ArturRed Bull Bragantino, 24, AM(LR)",  ,9,739.0,1,3,-,-,2.8,77.1,0.4,1,7.27
"RanieleAvai FC, 25, DMC","19RanieleAvai FC, 25, DMC",  ,10,849.0,2.1,1.3,1.5,0.1,2.6,1.3,0.7,-,7.25,"19RanieleAvai FC, 25, DMC",  ,10,849.0,1,-,1,0.5,1.7,3.1,-,1,1.5,7.25,"19RanieleAvai FC, 25, DMC",  ,10,849.0,-,0.5,45.2,75.7,-,2.9,-,7.25,"19RanieleAvai FC, 25, DMC",  ,10,849.0,1,-,2,-,1,75.7,2.2,2,7.25
"AderlanRed Bull Bragantino, 31, D(R),M(R)","20AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,8,687.0,2.5,1.3,2.1,0.1,0.5,1.5,0.1,-,7.23,"20AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,8,687.0,-,1,0.6,2.4,0.5,0.5,0.3,0.6,1.1,7.23,"20AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,8,687.0,1,2.4,34.3,75.5,2.3,1.6,0.1,7.23,"20AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,8,687.0,-,1,1,-,0.6,75.5,2,1,7.23
